href;language_num;sex;birth_place;native_language;other_languages;age_sex;age_of_english_onset;english_learning_method;english_residence;length_of_english_residence;age
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1653;polish23;male;['lobez,', 'poland'];"polish
(pol)";['swedish', ''];['21,', 'male', ''];8.0;academic;[''];0.0;21
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1654;polish24;female;['koszalin,', 'poland'];"polish
(pol)";['swedish', ''];['20,', 'female', ''];10.0;academic;[''];0.0;20
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1671;polish25;male;['koszalin,', 'poland'];"polish
(pol)";['russian', ''];['20,', 'male', ''];11.0;academic;[''];0.0;20
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1737;polish26;male;['bytow,', 'poland'];"polish
(pol)";['none'];['19,', 'male', ''];16.0;academic;['uk'];0.2;19
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1738;polish27;male;['koszalin,', 'poland'];"polish
(pol)";['german', 'spanish', ''];['19,', 'male', ''];6.0;academic;[''];0.0;19
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1745;polish28;female;['koszalin,', 'poland'];"polish
(pol)";['pashto', ''];['20,', 'female', ''];10.0;academic;[''];0.0;20
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1748;polish29;male;['sianow,', 'poland'];"polish
(pol)";['spanish', 'german', ''];['20,', 'male', ''];11.0;academic;[''];0.0;20
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1749;polish30;female;['koszalin,', 'poland'];"polish
(pol)";['german', 'swedish', ''];['21,', 'female', ''];9.0;academic;[''];0.0;21
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1918;polish31;female;['trzebnica,', 'poland'];"polish
(pol)";['german', ''];['34,', 'female', ''];16.0;academic;['usa'];11.0;34
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2062;polish32;male;['torun,', 'poland'];"polish
(pol)";['french', 'german', 'russian', ''];['42,', 'male', ''];14.0;naturalistic;['usa'];2.0;42
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2064;polish33;male;['ruda,', 'poland'];"polish
(pol)";['german', 'italian', ''];['21,', 'male', ''];7.0;academic;[''];0.0;21
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2085;polish34;female;['wroclaw,', 'poland'];"polish
(pol)";['german', ''];['48,', 'female', ''];12.0;academic;['usa'];23.0;48
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2189;polish35;male;['warsaw,', 'poland'];"polish
(pol)";['none'];['21,', 'male', ''];6.0;academic;[''];0.0;21
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2194;polish36;female;['bialogard,', 'poland'];"polish
(pol)";['german', 'dutch', ''];['19,', 'female', ''];14.0;academic;[''];0.0;19
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2514;polish37;male;['warsaw,', 'poland'];"polish
(pol)";['none'];['26,', 'male', ''];4.0;academic;['uk,', 'australia'];2.0;26
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2525;polish38;female;['gdansk,', 'poland'];"polish
(pol)";['german', 'spanish', ''];['22,', 'female', ''];5.0;academic;[''];0.0;22
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2528;polish39;male;['wolin,', 'poland'];"polish
(pol)";['russian', ''];['54,', 'male', ''];15.0;academic;['uk'];1.0;54
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=221;japanese1;female;['tokyo,', 'japan'];"japanese
(jpn)";['sign', 'language', ''];['25,', 'female', ''];12.0;academic;['usa'];2.0;25
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=222;japanese2;female;['tokyo,', 'japan'];"japanese
(jpn)";['none'];['27,', 'female', ''];12.0;academic;['usa'];1.3;27
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=223;japanese3;female;['prefecture,', 'japan'];"japanese
(jpn)";['german', ''];['49,', 'female', ''];12.0;academic;['usa'];3.0;49
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=224;japanese4;male;['tokyo,', 'japan'];"japanese
(jpn)";['none'];['20,', 'male', ''];15.0;academic;['usa'];0.75;20
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=225;japanese5;female;['chiba,', 'japan'];"japanese
(jpn)";['mandarin', ''];['25,', 'female', ''];12.0;academic;['usa'];0.4;25
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=226;japanese6;female;['kawasaki,', 'japan'];"japanese
(jpn)";['spanish', ''];['30,', 'female', ''];10.0;academic;['usa,canada'];12.0;30
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=227;japanese7;male;['osaka,', 'japan'];"japanese
(jpn)";['german', ''];['18,', 'male', ''];12.0;academic;[''];0.0;18
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=486;japanese8;male;['tokyo,', 'japan'];"japanese
(jpn)";['german', 'latin', ''];['25,', 'male', ''];12.0;academic;[''];0.0;25
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=543;japanese9;male;['yokohama,', 'japan'];"japanese
(jpn)";['none'];['24,', 'male', ''];13.0;academic;['canada'];4.0;24
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=827;japanese10;female;['hakodate,', 'japan'];"japanese
(jpn)";['none'];['26,', 'female', ''];12.0;academic;['usa'];4.0;26
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1046;japanese11;female;['toyama,', 'japan'];"japanese
(jpn)";['none'];['29,', 'female', ''];13.0;academic;['usa'];4.5;29
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1365;japanese12;male;['tokyo,', 'japan'];"japanese
(jpn)";['none'];['36,', 'male', ''];12.0;academic;['australia'];8.7;36
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1381;japanese13;male;['gunma,', 'japan'];"japanese
(jpn)";['chinese', ''];['28,', 'male', ''];11.0;academic;['usa'];0.1;28
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1382;japanese14;female;['akashi,', 'japan'];"japanese
(jpn)";['german', 'french', 'korean', 'chinese', ''];['37,', 'female', ''];12.0;academic;['usa'];0.8;37
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1521;japanese15;male;['osaka,', 'japan'];"japanese
(jpn)";['french', ''];['45,', 'male', ''];12.0;academic;[''];0.0;45
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1537;japanese16;female;['field,', 'philippines'];"japanese
(jpn)";['none'];['25,', 'female', ''];3.0;naturalistic;['usa'];17.0;25
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1610;japanese17;female;['nara,', 'japan'];"japanese
(jpn)";['none'];['44,', 'female', ''];13.0;academic;['usa'];19.0;44
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1626;japanese18;female;['kyoto,', 'japan'];"japanese
(jpn)";['none'];['52,', 'female', ''];13.0;academic;['usa'];20.0;52
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1684;japanese19;female;['naha,', 'japan'];"japanese
(jpn)";['none'];['57,', 'female', ''];13.0;academic;['usa'];20.0;57
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1833;japanese20;male;['yokosuka,', 'japan'];"japanese
(jpn)";['none'];['21,', 'male', ''];14.0;academic;['usa'];6.0;21
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1847;japanese21;female;['tokyo,', 'japan'];"japanese
(jpn)";['mandarin', ''];['53,', 'female', ''];13.0;academic;['usa'];23.0;53
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1881;japanese22;female;['ashiya,', 'japan'];"japanese
(jpn)";['spanish', 'french', 'german', ''];['69,', 'female', ''];12.0;academic;['usa'];30.0;69
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1942;japanese23;male;['kawasaki,', 'japan'];"japanese
(jpn)";['none'];['24,', 'male', ''];5.0;academic;['usa'];15.0;24
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1948;japanese24;female;['tokyo,', 'japan'];"japanese
(jpn)";['none'];['40,', 'female', ''];13.0;academic;['usa'];24.0;40
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1987;japanese25;female;['kyoto,', 'japan'];"japanese
(jpn)";['none'];['52,', 'female', ''];13.0;academic;['canada,', 'usa'];23.0;52
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1991;japanese26;female;['yokosuka,', 'japan'];"japanese
(jpn)";['russian', ''];['44,', 'female', ''];13.0;academic;['usa'];6.0;44
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2123;japanese27;female;['tokyo,', 'japan'];"japanese
(jpn)";['none'];['21,', 'female', ''];13.0;academic;['usa'];0.2;21
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2390;japanese28;female;['tokyo,', 'japan'];"japanese
(jpn)";['none'];['35,', 'female', ''];12.0;academic;['usa'];10.0;35
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2436;japanese29;female;['nagoya,', 'japan'];"japanese
(jpn)";['none'];['21,', 'female', ''];15.0;academic;['new', 'zealand'];1.0;21
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2492;japanese30;male;['miyazaki,', 'japan'];"japanese
(jpn)";['none'];['19,', 'male', ''];12.0;academic;['usa'];0.3;19
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2493;japanese31;female;['saitama,', 'japan'];"japanese
(jpn)";['none'];['20,', 'female', ''];15.0;academic;['usa'];0.2;20
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2547;japanese32;male;['tokyo,', 'japan'];"japanese
(jpn)";['none'];['27,', 'male', ''];18.0;academic;['canada'];4.0;27
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2555;japanese33;female;['ako,', 'japan'];"japanese
(jpn)";['none'];['30,', 'female', ''];12.0;academic;['australia'];10.0;30
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2567;japanese34;male;['komaki,', 'japan'];"japanese
(jpn)";['none'];['19,', 'male', ''];10.0;academic;['usa'];0.7;19
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2723;japanese35;female;['tokyo,', 'japan'];"japanese
(jpn)";['none'];['21,', 'female', ''];12.0;academic;['usa'];0.2;21
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2797;japanese36;male;['tokyo,', 'japan'];"japanese
(jpn)";['none'];['21,', 'male', ''];12.0;naturalistic;['usa'];3.5;21
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2807;japanese37;female;['kobe,', 'japan'];"japanese
(jpn)";['none'];['22,', 'female', ''];4.0;academic;['usa'];4.0;22
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2826;japanese38;female;['osaka,', 'japan'];"japanese
(jpn)";['none'];['50,', 'female', ''];17.0;naturalistic;['usa'];24.0;50
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2843;japanese39;male;['osaka,', 'japan'];"japanese
(jpn)";['none'];['22,', 'male', ''];7.0;academic;['usa'];11.0;22
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2850;japanese40;female;['prefecture,', 'japan'];"japanese
(jpn)";['none'];['84,', 'female', ''];15.0;academic;['usa'];58.0;84
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2866;japanese41;male;['tokyo,', 'japan'];"japanese
(jpn)";['mandarin', ''];['63,', 'male', ''];15.0;academic;[''];0.0;63
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2940;japanese42;male;['tokyo,', 'japan'];"japanese
(jpn)";['none'];['44,', 'male', ''];8.0;naturalistic;['usa'];35.0;44
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2953;japanese43;female;['okinawa,', 'japan'];"japanese
(jpn)";['none'];['47,', 'female', ''];12.0;academic;['usa'];17.0;47
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=3000;japanese44;female;['osaka,', 'japan'];"japanese
(jpn)";['none'];['40,', 'female', ''];12.0;academic;['usa'];5.0;40
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=3004;japanese45;female;['kyoto,', 'japan'];"japanese
(jpn)";['none'];['57,', 'female', ''];13.0;academic;['usa'];20.0;57
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=281;portuguese1;female;['bahia,', 'brazil'];"portuguese
(por)";['spanish', ''];['37,', 'female', ''];16.0;academic;['usa'];1.0;37
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=283;portuguese2;female;['brasilia,', 'brazil'];"portuguese
(por)";['spanish', ''];['18,', 'female', ''];10.0;academic;['usa'];0.2;18
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=284;portuguese3;female;['blumenau,', 'brazil'];"portuguese
(por)";['spanish', ''];['18,', 'female', ''];15.0;academic;['usa'];1.2;18
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=285;portuguese4;male;['cabinda,', 'angola'];"portuguese
(por)";['french', 'spanish', ''];['20,', 'male', ''];15.0;academic;['usa'];1.0;20
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=286;portuguese5;male;['lubango,', 'angola'];"portuguese
(por)";['spanish', 'german', ''];['31,', 'male', ''];13.0;academic;['usa'];1.0;31
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=287;portuguese6;male;['paulo,', 'brazil'];"portuguese
(por)";['none'];['44,', 'male', ''];15.0;academic;['usa'];0.1;44
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=288;portuguese7;male;['vitoria,', 'brazil'];"portuguese
(por)";['spanish', ''];['40,', 'male', ''];11.0;naturalistic;[''];0.0;40
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=289;portuguese8;male;['fortaleza,', 'brazil'];"portuguese
(por)";['french', 'spanish', ''];['26,', 'male', ''];7.0;academic;['uk'];8.5;26
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=290;portuguese9;male;['paulo,', 'brazil'];"portuguese
(por)";['french', 'spanish', ''];['18,', 'male', ''];14.0;academic;['usa'];2.0;18
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=282;portuguese10;male;['sul,', 'brazil'];"portuguese
(por)";['spanish', ''];['21,', 'male', ''];13.0;academic;['usa'];0.5;21
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=495;portuguese11;female;['paulo,', 'brazil'];"portuguese
(por)";['spanish', ''];['40,', 'female', ''];7.0;academic;[''];0.0;40
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=513;portuguese12;male;['lisbon,', 'portugal'];"portuguese
(por)";['none'];['36,', 'male', ''];12.0;academic;[''];0.0;36
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=520;portuguese13;male;['sul,', 'brazil'];"portuguese
(por)";['spanish', ''];['18,', 'male', ''];9.0;academic;[''];0.0;18
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=558;portuguese14;male;['paulo,', 'brazil'];"portuguese
(por)";['japanese', ''];['25,', 'male', ''];8.0;academic;[''];0.0;25
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=615;portuguese15;male;['paulo,', 'brazil'];"portuguese
(por)";['spanish', 'french', 'italian', ''];['54,', 'male', ''];9.0;academic;['usa'];1.5;54
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=632;portuguese16;male;['alegre,', 'brazil'];"portuguese
(por)";['spanish', 'french', 'italian', 'catalan', ''];['25,', 'male', ''];15.0;academic;['scotland'];2.5;25
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=806;portuguese17;male;['salinas,', 'brazil'];"portuguese
(por)";['spanish', ''];['18,', 'male', ''];15.0;naturalistic;['usa'];3.0;18
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=812;portuguese18;female;['almada,', 'portugal'];"portuguese
(por)";['french', 'german', 'spanish', ''];['50,', 'female', ''];12.0;academic;['usa'];10.0;50
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=829;portuguese19;male;['florianopolis,', 'brazil'];"portuguese
(por)";['portuguese', 'interlingua', ''];['32,', 'male', ''];4.0;naturalistic;['brazil,', 'canada,', 'usa'];32.0;32
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=833;portuguese20;male;['campinas,', 'brazil'];"portuguese
(por)";['none'];['21,', 'male', ''];10.0;academic;[''];0.0;21
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=891;portuguese21;male;['paulo,', 'brazil'];"portuguese
(por)";['german', 'hungarian', ''];['23,', 'male', ''];17.0;academic;[''];0.0;23
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=933;portuguese22;female;['luanda,', 'angola'];"portuguese
(por)";['spanish', 'italian', 'french', 'czech', ''];['43,', 'female', ''];17.0;naturalistic;['usa'];15.0;43
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=938;portuguese23;female;['curitiba,', 'brazil'];"portuguese
(por)";['none'];['29,', 'female', ''];10.0;academic;['south', 'africa'];1.0;29
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=960;portuguese24;female;['santos,', 'brazil'];"portuguese
(por)";['german', 'spanish', ''];['22,', 'female', ''];11.0;academic;[''];0.0;22
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=972;portuguese25;female;['janeiro,', 'brazil'];"portuguese
(por)";['spanish', ''];['20,', 'female', ''];18.0;academic;['usa'];1.0;20
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1109;portuguese26;female;['grande,', 'brazil'];"portuguese
(por)";['spanish', ''];['25,', 'female', ''];10.0;academic;['usa'];6.0;25
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1128;portuguese27;female;['paulo,', 'brazil'];"portuguese
(por)";['italian', ''];['33,', 'female', ''];8.0;academic;['uk'];0.2;33
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1187;portuguese28;female;['paulo,', 'brazil'];"portuguese
(por)";['spanish', 'french', ''];['36,', 'female', ''];10.0;academic;['usa'];12.0;36
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1284;portuguese29;male;['vitoria,', 'brazil'];"portuguese
(por)";['german', ''];['28,', 'male', ''];8.0;academic;[''];0.0;28
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1285;portuguese30;female;['fora,', 'brazil'];"portuguese
(por)";['none'];['26,', 'female', ''];24.0;academic;[''];0.0;26
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1286;portuguese31;male;['horizonte,', 'brazil'];"portuguese
(por)";['italian', ''];['29,', 'male', ''];16.0;academic;['uk'];0.5;29
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1305;portuguese32;male;['redonda,', 'brazil'];"portuguese
(por)";['spanish', 'italian', ''];['29,', 'male', ''];12.0;naturalistic;['australia,', 'usa'];5.0;29
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1316;portuguese33;male;['brasilia,', 'brazil'];"portuguese
(por)";['spanish', 'french', ''];['38,', 'male', ''];28.0;academic;['australia,', 'new', 'zealand'];1.0;38
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1376;portuguese34;male;['alegre,', 'brazil'];"portuguese
(por)";['spanish', ''];['18,', 'male', ''];14.0;naturalistic;['new', 'zealand'];1.0;18
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1389;portuguese35;female;['paulo,', 'brazil'];"portuguese
(por)";['french', 'spanish', 'dutch', 'esperanto', ''];['22,', 'female', ''];9.0;academic;['usa'];0.3;22
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1438;portuguese36;female;['uberlandia,', 'brazil'];"portuguese
(por)";['spanish', 'french', ''];['39,', 'female', ''];15.0;academic;['usa'];12.0;39
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1454;portuguese37;female;['paulo,', 'brazil'];"portuguese
(por)";['none'];['43,', 'female', ''];26.0;naturalistic;['usa'];16.0;43
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1470;portuguese38;male;['janeiro,', 'brazil'];"portuguese
(por)";['russian', 'spanish', ''];['25,', 'male', ''];15.0;naturalistic;[''];0.0;25
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1553;portuguese39;female;['paulo,', 'brazil'];"portuguese
(por)";['spanish', 'italian', 'german', ''];['26,', 'female', ''];8.0;academic;['uk,', 'usa'];0.2;26
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1773;portuguese40;male;['england,', 'uk'];"portuguese
(por)";['spanish', ''];['23,', 'male', ''];0.0;naturalistic;['uk'];4.0;23
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1849;portuguese41;male;['city,', 'mexico'];"portuguese
(por)";['spanish', 'french', ''];['22,', 'male', ''];10.0;naturalistic;['usa'];7.0;22
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1883;portuguese42;male;['luanda,', 'angola'];"portuguese
(por)";['spanish', ''];['24,', 'male', ''];21.0;academic;['usa'];3.0;24
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1922;portuguese43;female;['gerais,', 'brazil'];"portuguese
(por)";['spanish', ''];['32,', 'female', ''];8.0;academic;['usa'];7.0;32
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1930;portuguese44;female;['janeiro,', 'brazil'];"portuguese
(por)";['spanish', ''];['38,', 'female', ''];24.0;naturalistic;['usa'];14.0;38
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1941;portuguese45;female;['salvador,', 'brazil'];"portuguese
(por)";['spanish', ''];['19,', 'female', ''];7.0;academic;['usa'];12.5;19
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1965;portuguese46;male;['cascais,', 'portugal'];"portuguese
(por)";['french', 'spanish', ''];['65,', 'male', ''];11.0;academic;['canada'];2.0;65
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1989;portuguese47;female;['sul,', 'brazil'];"portuguese
(por)";['spanish', ''];['22,', 'female', ''];12.0;academic;['usa'];4.3;22
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2120;portuguese48;male;['paulo,', 'brazil'];"portuguese
(por)";['spanish', ''];['31,', 'male', ''];26.0;naturalistic;['usa'];3.0;31
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2208;portuguese49;female;['sul,', 'brazil'];"portuguese
(por)";['spanish', ''];['25,', 'female', ''];13.0;academic;['uk'];0.1;25
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2314;portuguese50;female;['votuporanga,', 'brazil'];"portuguese
(por)";['spanish', ''];['20,', 'female', ''];6.0;academic;['usa'];5.7;20
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2315;portuguese51;male;['curitiba,', 'brazil'];"portuguese
(por)";['spanish', ''];['22,', 'male', ''];11.0;academic;[''];0.0;22
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2340;portuguese52;female;['recife,', 'brazil'];"portuguese
(por)";['spanish', ''];['51,', 'female', ''];14.0;academic;['usa'];25.0;51
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2395;portuguese53;female;['paulo,', 'brazil'];"portuguese
(por)";['none'];['26,', 'female', ''];14.0;academic;['usa'];4.5;26
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2451;portuguese54;male;['paulo,', 'brazil'];"portuguese
(por)";['none'];['19,', 'male', ''];12.0;academic;['usa'];1.0;19
