speaker_id;file_name;sample_name;birth_place;native_langs;other_langs;age;sex;age_of_english_onset;english_learning_method;english_residence;years_of_english_residence;class_labels;primary_lang_group;secondary_lang_group;primary_lang_group_id;secondary_lang_group_id
36;amharic10;amharic10;gonder, ethiopia;amharic;none;29;female;19;naturalistic;usa;10;6;Afro-Asiatic;Semitic;1;102
37;amharic11;amharic11;addis ababa, ethiopia;amharic;harari;24;female;17;academic;usa;9;6;Afro-Asiatic;Semitic;1;102
38;amharic12;amharic12;addis ababa, ethiopia;amharic;none;26;female;15;academic;usa;10;6;Afro-Asiatic;Semitic;1;102
39;amharic13;amharic13;addis ababa, ethiopia;amharic;none;28;female;6;academic;usa;9;6;Afro-Asiatic;Semitic;1;102
40;amharic14;amharic14;addis ababa, ethiopia;amharic;none;31;male;12;academic;usa;11;6;Afro-Asiatic;Semitic;1;102
41;amharic15;amharic15;addis ababa, ethiopia;amharic;tigrigna;23;male;6;academic;usa;1;6;Afro-Asiatic;Semitic;1;102
42;amharic16;amharic16;werder, ethiopia;amharic;none;36;male;11;academic;usa;10;6;Afro-Asiatic;Semitic;1;102
43;amharic17;amharic17;addis ababa, ethiopia;amharic;tigrigna;21;male;9;academic;usa;10;6;Afro-Asiatic;Semitic;1;102
44;amharic18;amharic18;addis ababa, ethiopia;amharic;french tigrigna;20;female;2;naturalistic;usa;7;6;Afro-Asiatic;Semitic;1;102
45;amharic19;amharic19;tefki, ethiopia;amharic;oromo;19;female;10;academic;usa;9;6;Afro-Asiatic;Semitic;1;102
46;amharic20;amharic20;addis ababa, ethiopia;amharic;french;52;female;24;academic;usa;1;6;Afro-Asiatic;Semitic;1;102
47;amharic21;amharic21;addis ababa, ethiopia;amharic;none;24;male;15;academic;usa;6;6;Afro-Asiatic;Semitic;1;102
48;amharic22;amharic22;addis ababa, ethiopia;amharic;none;35;female;12;academic;usa;5;6;Afro-Asiatic;Semitic;1;102
49;amharic23;amharic23;addis ababa, ethiopia;amharic;none;32;male;10;academic;usa;3;6;Afro-Asiatic;Semitic;1;102
50;amharic24;amharic24;addis ababa, ethiopia;amharic;arabic spanish;19;male;11;naturalistic;usa;8;6;Afro-Asiatic;Semitic;1;102
51;amharic25;amharic25;addis ababa, ethiopia;amharic;arabic;24;female;21;academic;usa;3;6;Afro-Asiatic;Semitic;1;102
52;amharic26;amharic26;addis ababa, ethiopia;amharic;tigrigna;30;female;23;naturalistic;usa;7;6;Afro-Asiatic;Semitic;1;102
53;amharic27;amharic27;addis ababa, ethiopia;amharic;none;18;female;5;naturalistic;usa;11;6;Afro-Asiatic;Semitic;1;102
54;arabic1;arabic1;riyadh, saudi arabia;arabic;none;38;female;12;academic;usa;4;7;Afro-Asiatic;Semitic;1;102
55;arabic10;arabic10;cairo, egypt;arabic;french german;26;male;5;academic;usa;2;7;Afro-Asiatic;Semitic;1;102
56;arabic11;arabic11;monastir, tunisia;arabic;french;30;female;14;academic;usa;4;7;Afro-Asiatic;Semitic;1;102
57;arabic12;arabic12;baghdad, iraq;arabic;none;32;male;11;academic;usa;8;7;Afro-Asiatic;Semitic;1;102
58;arabic13;arabic13;zabbougha, lebanon;arabic;french swedish;25;male;15;academic;usa;1;7;Afro-Asiatic;Semitic;1;102
59;arabic2;arabic2;damascus, syria;arabic;none;18;male;2.5;naturalistic;usa;3;7;Afro-Asiatic;Semitic;1;102
60;arabic3;arabic3;doha, qatar;arabic;none;24;male;9;academic;usa;1;7;Afro-Asiatic;Semitic;1;102
61;arabic4;arabic4;sharjah, united arab emirates;arabic;french;19;male;6;academic;usa;0.6;7;Afro-Asiatic;Semitic;1;102
62;arabic5;arabic5;casablanca, morocco;arabic;french;19;female;15;academic;usa;0.6;7;Afro-Asiatic;Semitic;1;102
63;arabic6;arabic6;sanaa, yemen;arabic;none;21;male;14.5;academic;uk,usa;2;7;Afro-Asiatic;Semitic;1;102
64;arabic7;arabic7;casablanca, morocco;arabic;french;18;female;15;academic;usa;0.1;7;Afro-Asiatic;Semitic;1;102
65;arabic8;arabic8;casablanca, morocco;arabic;french;21;male;17;academic;usa;0.7;7;Afro-Asiatic;Semitic;1;102
66;arabic9;arabic9;jerusalem, israel;arabic;none;28;female;4;academic;usa;12;7;Afro-Asiatic;Semitic;1;102
67;arabic14;arabic14;amman, jordan;arabic;hebrew;47;male;11;naturalistic;usa;25;7;Afro-Asiatic;Semitic;1;102
68;arabic15;arabic15;qayrawan, tunisia;arabic;french;40;male;33;naturalistic;usa;7;7;Afro-Asiatic;Semitic;1;102
69;arabic16;arabic16;meknes, morocco;arabic;french spanish;22;male;16;academic;;0;7;Afro-Asiatic;Semitic;1;102
70;arabic17;arabic17;settat, morocco;arabic;french;35;male;15;academic;;0;7;Afro-Asiatic;Semitic;1;102
71;arabic18;arabic18;kuwait city, kuwait;arabic;french;18;male;6;academic;;0;7;Afro-Asiatic;Semitic;1;102
72;arabic19;arabic19;khouribga, morocco;arabic;french;43;male;18;academic;usa;8;7;Afro-Asiatic;Semitic;1;102
73;arabic20;arabic20;chtaura, beqa valley, lebanon;arabic;french german;36;male;12;academic;usa;1;7;Afro-Asiatic;Semitic;1;102
74;arabic21;arabic21;beirut, lebanon;arabic;french;46;female;30;naturalistic;usa;13;7;Afro-Asiatic;Semitic;1;102
75;arabic22;arabic22;abu dhabi, united arab emirates;arabic;french hebrew;23;female;10;academic;;0;7;Afro-Asiatic;Semitic;1;102
76;arabic23;arabic23;al mahalla, egypt;arabic;italian farsi french hebrew;42;male;13;academic;usa;8;7;Afro-Asiatic;Semitic;1;102
77;arabic24;arabic24;cairo, egypt;arabic;none;40;male;7;academic;uk;3;7;Afro-Asiatic;Semitic;1;102
78;arabic25;arabic25;ramun, israel (occupied territory);arabic;french spanish;38;male;5;naturalistic;usa;33;7;Afro-Asiatic;Semitic;1;102
79;arabic26;arabic26;amman, jordan;arabic;none;43;female;14;academic;usa;28;7;Afro-Asiatic;Semitic;1;102
80;arabic27;arabic27;jerusalem, israel;arabic;farsi hebrew;70;male;10;academic;usa;30;7;Afro-Asiatic;Semitic;1;102
81;arabic28;arabic28;al-ayn, united arab emirates;arabic;none;30;male;12;academic;usa;1;7;Afro-Asiatic;Semitic;1;102
82;arabic29;arabic29;doha, qatar;arabic;none;19;male;17;academic;usa;0.3;7;Afro-Asiatic;Semitic;1;102
83;arabic30;arabic30;riyadh, saudi arabia;arabic;none;19;female;8;naturalistic;usa;11;7;Afro-Asiatic;Semitic;1;102
84;arabic31;arabic31;baghdad, iraq;arabic;none;47;female;12;academic;usa;0.3;7;Afro-Asiatic;Semitic;1;102
85;arabic32;arabic32;baghdad, iraq;arabic;none;42;male;12;academic;usa;16;7;Afro-Asiatic;Semitic;1;102
86;arabic33;arabic33;baghdad, iraq;arabic;none;28;female;11;academic;usa;0.3;7;Afro-Asiatic;Semitic;1;102
87;arabic34;arabic34;kuwait city, kuwait;arabic;french;34;female;6;academic;usa;4;7;Afro-Asiatic;Semitic;1;102
88;arabic35;arabic35;jiddah, saudi arabia;arabic;none;56;male;16;naturalistic;usa;33;7;Afro-Asiatic;Semitic;1;102
89;arabic36;arabic36;jiddah, saudi arabia;arabic;none;36;male;6;academic;usa, uk;6;7;Afro-Asiatic;Semitic;1;102
90;arabic37;arabic37;jiddah, saudi arabia;arabic;none;18;male;16;academic;usa;0.4;7;Afro-Asiatic;Semitic;1;102
91;arabic38;arabic38;shady grove, maryland, usa;arabic;none;19;female;9;academic;usa;12;7;Afro-Asiatic;Semitic;1;102
92;arabic39;arabic39;jiddah, saudi arabia;arabic;none;22;male;5;academic;usa;2;7;Afro-Asiatic;Semitic;1;102
93;arabic40;arabic40;jiddah, saudi arabia;arabic;none;19;male;13;academic;usa;0.1;7;Afro-Asiatic;Semitic;1;102
94;arabic41;arabic41;riyadh, saudi arabia;arabic;none;25;male;7;academic;usa;1.5;7;Afro-Asiatic;Semitic;1;102
95;arabic42;arabic42;jiddah, saudi arabia;arabic;none;21;male;13;academic;usa;0.5;7;Afro-Asiatic;Semitic;1;102
96;arabic43;arabic43;beirut, lebanon;arabic;french spanish;29;female;8;academic;;0;7;Afro-Asiatic;Semitic;1;102
97;arabic44;arabic44;jiddah, saudi arabia;arabic;none;29;female;7;academic;usa;0.6;7;Afro-Asiatic;Semitic;1;102
98;arabic45;arabic45;fort collins, colorado, usa;arabic;turkish;32;female;12;naturalistic;usa;0.5;7;Afro-Asiatic;Semitic;1;102
99;arabic46;arabic46;jiddah, saudi arabia;arabic;none;28;male;13;academic;uk, usa;1;7;Afro-Asiatic;Semitic;1;102
100;arabic47;arabic47;jiddah, saudi arabia;arabic;none;39;male;16;academic;usa;0.75;7;Afro-Asiatic;Semitic;1;102
101;arabic48;arabic48;mecca, saudi arabia;arabic;none;29;male;12;academic;usa;1;7;Afro-Asiatic;Semitic;1;102
102;arabic49;arabic49;medina, saudi arabia;arabic;none;26;male;8;academic;usa;1;7;Afro-Asiatic;Semitic;1;102
103;arabic50;arabic50;jiddah, saudi arabia;arabic;none;36;male;22;academic;usa;0.75;7;Afro-Asiatic;Semitic;1;102
104;arabic51;arabic51;jiddah, saudi arabia;arabic;none;23;male;12;academic;usa;4;7;Afro-Asiatic;Semitic;1;102
105;arabic52;arabic52;jiddah, saudi arabia;arabic;none;21;female;9;academic;usa;5;7;Afro-Asiatic;Semitic;1;102
106;arabic53;arabic53;rabat, morocco;arabic;french tachelhit danish swedish;36;male;17;academic;usa;12;7;Afro-Asiatic;Semitic;1;102
107;arabic54;arabic54;baghdad, iraq;arabic;french;22;male;7;academic;usa;3;7;Afro-Asiatic;Semitic;1;102
108;arabic55;arabic55;beirut, lebanon;arabic;french;70;male;33;academic;usa;37;7;Afro-Asiatic;Semitic;1;102
109;arabic56;arabic56;ain defla, algeria;arabic;french;43;male;12;academic;usa;3;7;Afro-Asiatic;Semitic;1;102
110;arabic57;arabic57;beirut, lebanon;arabic;french;28;female;17;academic;usa;11;7;Afro-Asiatic;Semitic;1;102
111;arabic58;arabic58;baghdad, iraq;arabic;none;34;male;9;academic;usa;5.5;7;Afro-Asiatic;Semitic;1;102
112;arabic59;arabic59;irbid, jordan;arabic;german;55;male;9;academic;usa;35;7;Afro-Asiatic;Semitic;1;102
113;arabic60;arabic60;cairo, egypt;arabic;french;60;male;14;academic;usa;23;7;Afro-Asiatic;Semitic;1;102
114;arabic61;arabic61;manama, bahrain;arabic;turkish urdu;20;male;7;academic;usa;1.75;7;Afro-Asiatic;Semitic;1;102
115;arabic62;arabic62;ad dammam, saudi arabia;arabic;none;19;male;18;academic;usa;1;7;Afro-Asiatic;Semitic;1;102
116;arabic63;arabic63;bani walid, libya;arabic;none;28;female;10;academic;usa;0.3;7;Afro-Asiatic;Semitic;1;102
117;arabic64;arabic64;riyadh, saudi arabia;arabic;none;23;male;6;naturalistic;usa;3;7;Afro-Asiatic;Semitic;1;102
118;arabic65;arabic65;samail, oman;arabic;none;32;female;10;academic;canada, usa;6;7;Afro-Asiatic;Semitic;1;102
119;arabic66;arabic66;medina, saudi arabia;arabic;none;50;male;14;academic;usa;1;7;Afro-Asiatic;Semitic;1;102
120;arabic67;arabic67;nasriah, iraq;arabic;none;43;male;22;academic;usa;20;7;Afro-Asiatic;Semitic;1;102
121;arabic68;arabic68;london, uk;arabic;none;20;male;6;naturalistic;uk, usa;9;7;Afro-Asiatic;Semitic;1;102
122;arabic69;arabic69;kerma, sudan;arabic;nobiin;55;female;15;academic;uk, usa;21;7;Afro-Asiatic;Semitic;1;102
123;arabic70;arabic70;casablanca, morocco;arabic;french spanish;47;male;16;academic;usa;25;7;Afro-Asiatic;Semitic;1;102
124;arabic71;arabic71;kuwait city, kuwait;arabic;turkish spanish;29;female;21;naturalistic;usa;8;7;Afro-Asiatic;Semitic;1;102
125;arabic72;arabic72;baghdad, iraq;arabic;none;20;female;11;academic;usa;4.8;7;Afro-Asiatic;Semitic;1;102
126;arabic73;arabic73;nazareth, israel;arabic;hebrew;47;female;7;academic;usa;28;7;Afro-Asiatic;Semitic;1;102
127;arabic74;arabic74;alexandria, egypt;arabic;french;18;male;4;academic;usa;0.4;7;Afro-Asiatic;Semitic;1;102
128;arabic75;arabic75;riyadh, saudi arabia;arabic;none;26;female;2;naturalistic;usa;5.2;7;Afro-Asiatic;Semitic;1;102
129;arabic76;arabic76;jiddah, saudi arabia;arabic;none;25;male;4;naturalistic;usa;0.2;7;Afro-Asiatic;Semitic;1;102
130;arabic77;arabic77;ad dammam, saudi arabia;arabic;korean japanese;18;female;4;naturalistic;usa;1;7;Afro-Asiatic;Semitic;1;102
131;arabic78;arabic78;washington, district of columbia, usa;arabic;none;19;female;3;naturalistic;usa;8;7;Afro-Asiatic;Semitic;1;102
132;arabic79;arabic79;medina, saudi arabia;arabic;none;24;female;13;academic;usa;1;7;Afro-Asiatic;Semitic;1;102
133;arabic80;arabic80;najran, saudi arabia;arabic;none;25;male;11;academic;usa;2;7;Afro-Asiatic;Semitic;1;102
134;arabic81;arabic81;riyadh, saudi arabia;arabic;german;22;male;17;naturalistic;usa;3.6;7;Afro-Asiatic;Semitic;1;102
135;arabic82;arabic82;damascus, syria;arabic;none;42;male;12;academic;usa;0.3;7;Afro-Asiatic;Semitic;1;102
136;arabic83;arabic83;riyadh, saudi arabia;arabic;none;22;male;21;academic;usa;1;7;Afro-Asiatic;Semitic;1;102
137;arabic84;arabic84;medina, saudi arabia;arabic;none;26;female;12;academic;usa;2;7;Afro-Asiatic;Semitic;1;102
138;arabic85;arabic85;ad dammam, saudi arabia;arabic;none;24;female;14;academic;usa;0.4;7;Afro-Asiatic;Semitic;1;102
139;arabic86;arabic86;cairo, egypt;arabic;french spanish;28;male;3;academic;usa, canada;2.8;7;Afro-Asiatic;Semitic;1;102
140;arabic87;arabic87;kuwait city, kuwait;arabic;turkish;49;female;10;academic;usa;0.5;7;Afro-Asiatic;Semitic;1;102
141;arabic88;arabic88;beirut, lebanon;arabic;french;19;female;4;academic;usa;3;7;Afro-Asiatic;Semitic;1;102
142;arabic89;arabic89;baghdad, iraq;arabic;none;35;female;19;academic;usa;16;7;Afro-Asiatic;Semitic;1;102
143;arabic90;arabic90;tripoli, libya;arabic;turkish;23;female;12;academic;usa;2.5;7;Afro-Asiatic;Semitic;1;102
144;arabic91;arabic91;riyadh, saudi arabia;arabic;none;57;female;12;academic;usa;8;7;Afro-Asiatic;Semitic;1;102
145;arabic92;arabic92;baghdad, iraq;arabic;dutch;36;male;10;academic;usa;2;7;Afro-Asiatic;Semitic;1;102
146;arabic93;arabic93;baghdad, iraq;arabic;none;27;female;10;academic;usa;4.8;7;Afro-Asiatic;Semitic;1;102
147;arabic94;arabic94;abu dhabi, united arab emirates;arabic;none;24;female;9;academic;usa;9;7;Afro-Asiatic;Semitic;1;102
148;arabic95;arabic95;kuwait city, kuwait;arabic;none;31;female;10;academic;usa;1;7;Afro-Asiatic;Semitic;1;102
149;arabic96;arabic96;riyadh, saudi arabia;arabic;none;21;male;7;academic;usa;2;7;Afro-Asiatic;Semitic;1;102
150;arabic97;arabic97;sharjah, united arab emirates;arabic;none;19;female;4;academic;;0;7;Afro-Asiatic;Semitic;1;102
151;arabic98;arabic98;ras al khaimah, united arab emirates;arabic;none;19;female;4;academic;;0;7;Afro-Asiatic;Semitic;1;102
152;arabic99;arabic99;ad dammam, saudi arabia;arabic;none;25;female;16;academic;usa;2;7;Afro-Asiatic;Semitic;1;102
153;arabic100;arabic100;beirut, lebanon;arabic;french german;40;female;10;academic;usa;20;7;Afro-Asiatic;Semitic;1;102
154;arabic101;arabic101;doha, qatar;arabic;none;21;male;10;academic;usa;2;7;Afro-Asiatic;Semitic;1;102
155;arabic102;arabic102;jiddah, saudi arabia;arabic;french;22;male;3;academic;usa;5;7;Afro-Asiatic;Semitic;1;102
156;arabic103;arabic103;baghdad, iraq;arabic;none;29;male;10;academic;usa;3;7;Afro-Asiatic;Semitic;1;102
157;arabic104;arabic104;riyadh, saudi arabia;arabic;none;31;female;6;academic;usa;4;7;Afro-Asiatic;Semitic;1;102
158;arabic105;arabic105;riyadh, saudi arabia;arabic;none;23;female;12;academic;;0;7;Afro-Asiatic;Semitic;1;102
159;arabic106;arabic106;riyadh, saudi arabia;arabic;none;28;male;12;academic;uk;2;7;Afro-Asiatic;Semitic;1;102
160;arabic107;arabic107;riyadh, saudi arabia;arabic;none;28;male;12;academic;australia;2;7;Afro-Asiatic;Semitic;1;102
161;arabic108;arabic108;riyadh, saudi arabia;arabic;none;30;female;10;academic;;0;7;Afro-Asiatic;Semitic;1;102
162;arabic109;arabic109;riyadh, saudi arabia;arabic;none;19;female;10;academic;;0;7;Afro-Asiatic;Semitic;1;102
163;arabic110;arabic110;riyadh, saudi arabia;arabic;none;27;male;7;academic;uk;7;7;Afro-Asiatic;Semitic;1;102
164;arabic111;arabic111;riyadh, saudi arabia;arabic;none;20;female;5;academic;usa;3;7;Afro-Asiatic;Semitic;1;102
165;arabic112;arabic112;riyadh, saudi arabia;arabic;none;19;female;3;academic;usa;2.5;7;Afro-Asiatic;Semitic;1;102
166;arabic113;arabic113;riyadh, saudi arabia;arabic;spanish;20;female;1;naturalistic;usa;4;7;Afro-Asiatic;Semitic;1;102
167;arabic114;arabic114;amman, jordan;arabic;none;23;female;4;academic;uk, usa;5.5;7;Afro-Asiatic;Semitic;1;102
168;arabic115;arabic115;damascus, syria;arabic;hindi;41;female;19;academic;usa;22;7;Afro-Asiatic;Semitic;1;102
169;arabic116;arabic116;al ras, saudi arabia;arabic;none;30;female;13;academic;usa;4;7;Afro-Asiatic;Semitic;1;102
170;arabic117;arabic117;al ras, saudi arabia;arabic;none;40;male;37;academic;usa;3;7;Afro-Asiatic;Semitic;1;102
171;arabic118;arabic118;riyadh, saudi arabia;arabic;none;40;male;13;academic;australia, usa;3;7;Afro-Asiatic;Semitic;1;102
172;arabic119;arabic119;jiddah, saudi arabia;arabic;none;29;male;13;academic;uk, usa;17;7;Afro-Asiatic;Semitic;1;102
173;arabic120;arabic120;riyadh, saudi arabia;arabic;amharic tagalog tigrigna;31;male;13;academic;usa;3;7;Afro-Asiatic;Semitic;1;102
174;arabic121;arabic121;riyadh, saudi arabia;arabic;none;28;male;5;academic;usa;3;7;Afro-Asiatic;Semitic;1;102
175;arabic122;arabic122;sabt alalaya, saudi arabia;arabic;none;31;male;28;academic;usa;6;7;Afro-Asiatic;Semitic;1;102
176;arabic123;arabic123;riyadh, saudi arabia;arabic;none;26;male;12;academic;usa;0.3;7;Afro-Asiatic;Semitic;1;102
177;arabic124;arabic124;geulmim, morocco;arabic;french tachelhit;42;male;17;academic;usa;18;7;Afro-Asiatic;Semitic;1;102
178;arabic125;arabic125;beersheba, israel;arabic;hebrew italian;69;male;12;academic;usa;12;7;Afro-Asiatic;Semitic;1;102
179;arabic126;arabic126;beersheba, israel;arabic;hebrew;51;male;10;academic;usa;24;7;Afro-Asiatic;Semitic;1;102
180;arabic127;arabic127;tarshiha-maalot, israel;arabic;hebrew;51;female;14;academic;usa;24;7;Afro-Asiatic;Semitic;1;102
181;arabic128;arabic128;riyadh, saudi arabia;arabic;none;40;male;13;academic;usa;1.3;7;Afro-Asiatic;Semitic;1;102
182;arabic129;arabic129;ramallah, palestine;arabic;none;48;male;11;academic;usa;20;7;Afro-Asiatic;Semitic;1;102
183;arabic130;arabic130;unizah, saudi arabia;arabic;spanish;31;male;12;academic;usa;4.5;7;Afro-Asiatic;Semitic;1;102
184;arabic131;arabic131;riyadh, saudi arabia;arabic;none;20;male;17;academic;usa;4;7;Afro-Asiatic;Semitic;1;102
185;arabic132;arabic132;cairo, egypt;arabic;spanish;29;female;19;naturalistic;usa;11;7;Afro-Asiatic;Semitic;1;102
186;arabic133;arabic133;abha, saudi arabia;arabic;none;24;female;12;academic;;0;7;Afro-Asiatic;Semitic;1;102
187;arabic134;arabic134;abha, saudi arabia;arabic;none;29;female;13;academic;usa;0.1;7;Afro-Asiatic;Semitic;1;102
188;arabic135;arabic135;riyadh, saudi arabia;arabic;none;34;female;12;academic;usa;1;7;Afro-Asiatic;Semitic;1;102
189;arabic136;arabic136;cardiff, wales, uk;arabic;none;19;female;14;naturalistic;usa;5;7;Afro-Asiatic;Semitic;1;102
190;arabic137;arabic137;al-ayn, united arab emirates;arabic;none;20;male;7;academic;usa;0.7;7;Afro-Asiatic;Semitic;1;102
191;arabic138;arabic138;riyadh, saudi arabia;arabic;none;25;male;12;academic;usa;0.2;7;Afro-Asiatic;Semitic;1;102
192;arabic139;arabic139;khartoum, sudan;arabic;none;28;male;5;academic;usa;23;7;Afro-Asiatic;Semitic;1;102
193;arabic140;arabic140;taif, saudi arabia;arabic;none;26;female;6;academic;usa;2;7;Afro-Asiatic;Semitic;1;102
194;arabic141;arabic141;cairo, egypt;arabic;spanish;35;male;12;academic;australia;12;7;Afro-Asiatic;Semitic;1;102
195;arabic142;arabic142;almajmaah, saudi arabia;arabic;none;25;male;13;academic;canada, uk, usa;0.5;7;Afro-Asiatic;Semitic;1;102
196;arabic143;arabic143;medina, saudi arabia;arabic;none;20;female;12;academic;usa;1;7;Afro-Asiatic;Semitic;1;102
197;arabic144;arabic144;laayoune, morocco;arabic;french;32;male;29;academic;usa;3;7;Afro-Asiatic;Semitic;1;102
198;arabic145;arabic145;riyadh, saudi arabia;arabic;none;22;female;9;academic;usa;5;7;Afro-Asiatic;Semitic;1;102
199;arabic146;arabic146;amman, jordan;arabic;none;27;male;17;academic;usa;9;7;Afro-Asiatic;Semitic;1;102
200;arabic147;arabic147;baha, saudi arabia;arabic;none;56;female;16;academic;;0;7;Afro-Asiatic;Semitic;1;102
201;arabic148;arabic148;taif, saudi arabia;arabic;none;18;female;12;academic;;0;7;Afro-Asiatic;Semitic;1;102
202;arabic149;arabic149;riyadh, saudi arabia;arabic;none;26;female;12;academic;usa;0.5;7;Afro-Asiatic;Semitic;1;102
203;arabic150;arabic150;riyadh, saudi arabia;arabic;none;25;female;12;academic;usa;2;7;Afro-Asiatic;Semitic;1;102
204;arabic151;arabic151;riyadh, saudi arabia;arabic;french;25;female;5;academic;usa;3;7;Afro-Asiatic;Semitic;1;102
205;arabic152;arabic152;riyadh, saudi arabia;arabic;none;28;female;7;naturalistic;usa;10;7;Afro-Asiatic;Semitic;1;102
206;arabic153;arabic153;kuwait city, kuwait;arabic;none;20;male;5;academic;usa, uk;3.1;7;Afro-Asiatic;Semitic;1;102
207;arabic154;arabic154;baha, saudi arabia;arabic;none;64;male;12;academic;usa;3.5;7;Afro-Asiatic;Semitic;1;102
208;arabic155;arabic155;buraydah, saudi arabia;arabic;none;28;male;15;academic;usa, canada;1.5;7;Afro-Asiatic;Semitic;1;102
209;arabic156;arabic156;cairo, egypt;arabic;none;18;female;6;academic;usa;3.5;7;Afro-Asiatic;Semitic;1;102
210;arabic157;arabic157;sanaa, yemen;arabic;none;38;female;6;academic;usa;2;7;Afro-Asiatic;Semitic;1;102
211;arabic158;arabic158;jakarta, indonesia;arabic;indonesian;22;male;8;academic;usa;5;7;Afro-Asiatic;Semitic;1;102
