speaker_id;file_name;birth_place;native_langs;other_langs;age;sex;age_of_english_onset;english_learning_method;english_residence;years_of_english_residence
28;bai1;jianchuan, yunnan, china;bai;mandarin;43;female;40;academic;;0
29;bambara1;bamako, mali;bambara;french;15.5;female;12;academic;usa;0.4
30;bambara2;bamako, mali;bambara;french;26;female;18;academic;usa;2
31;bamun1;foumban, cameroon;bamun;french russian;31;female;15;academic;usa;2
32;basque1;vizcaya, spain;basque;spanish;69;female;34;naturalistic;usa;35
33;basque2;guernica, spain;basque;spanish;50;male;19;naturalistic;usa;30
34;bengali1;dhaka, bangladesh;bengali;hindi-urdu;23;male;16;academic;usa;1
35;bengali2;lusaka, zambia;bengali;french;25;female;2;naturalistic;usa;21
36;bengali3;dhaka, bangladesh;bengali;urdu hindi-urdu spanish;19;female;5;academic;usa;6
37;bengali4;chittagong, bangladesh;bengali;hindi-urdu spanish;24;male;6;academic;usa;5
38;bosnian1;doboj, bosnia and herzegovina;bosnian;german russian;39;male;37;academic;usa;2
39;bosnian2;sarajevo, bosnia and herzegovina;bosnian;slovenian;21;male;10;naturalistic;usa;0.1
40;bulgarian1;plovdiv, bulgaria;bulgarian;russian;25;female;16;academic;usa;7
41;bulgarian2;sofia, bulgaria;bulgarian;russian;53;female;42;academic;usa;11
42;bulgarian3;sofia, bulgaria;bulgarian;russian;27;male;10;academic;usa;10
43;bulgarian4;plovdiv, bulgaria;bulgarian;russian;22;male;20;naturalistic;usa;2
44;bulgarian5;sofia, bulgaria;bulgarian;russian;23;male;14;academic;usa;9
45;cantonese1;hong kong, china;cantonese;mandarin;22;female;12;academic;usa;1
46;cantonese2;hong kong, china;cantonese;mandarin;20;male;13;academic;usa;0.3
47;cantonese3;hong kong, china;cantonese;french mandarin;22;male;6;academic;uk;0.1
48;cantonese4;fuzhou, fujian, china;cantonese;mandarin;29;female;13;academic;usa;4
49;cantonese5;hong kong, china;cantonese;mandarin;18;male;14;academic;new zealand;0.7
50;carolinian1;saipan, saipan, northern mariana islands;carolinian;chamorro chuukese;32;female;6;academic;usa;10
51;catalan1;tarragona, spain;catalan;spanish french;39;male;13;academic;uk;0.2
52;chamorro1;saipan, saipan, northern mariana islands;chamorro;japanese;18;male;1;naturalistic;usa;0.2
53;czech1;prague, czech republic;czech;russian spanish;27;female;10.5;academic;usa;1.5
54;danish1;horsens, denmark;danish;kiswahili;45;female;11;academic;usa;8
55;danish2;haslev, denmark;danish;french italian;37;female;8;academic;usa;4
56;dari1;kabul, zoroastrian, afghanistan;dari;farsi urdu hindi-urdu;25;female;13;academic;usa;5
57;dutch1;nijmegen, netherlands;dutch;german;38;male;13;academic;uk;0.1
58;dutch2;amsterdam, netherlands;dutch;french german;41;male;14;academic;uk;0.1
59;ebira1;okene, nigeria;ebira;hausa;35;male;3;naturalistic;usa;7
60;edo1;benin city, nigeria;edo;pidgin;25;male;6;academic;usa;4
61;english1;pittsburgh, pennsylvania, usa;english;mandarin;42;male;0;naturalistic;usa;41
62;english10;davenport, iowa, usa;english;none;35;female;0;naturalistic;usa;35
63;english100;miami, florida, usa;english;none;23;female;0;naturalistic;usa;23
64;english101;toronto, ontario, canada;english;french mandarin;18;female;0;naturalistic;canada;18
65;english102;torrington, connecticut, usa;english;none;22;male;0;naturalistic;usa;22
66;english103;staten island, new york, usa;english;german;21;male;0;naturalistic;usa;21
67;english104;youngstown, ohio, usa;english;spanish;18;female;0;naturalistic;usa;18
68;english11;staffordshire, uk;english;french;35;female;0;naturalistic;uk;35
69;english12;leicester, uk;english;french;71;female;0;naturalistic;uk;71
70;english13;henley on thames, oxfordshire, uk;english;none;69;male;0;naturalistic;uk;69
71;english14;belfast, northern ireland, uk;english;french;40;male;0;naturalistic;uk,usa;40
72;english15;norton, virginia, usa;english;none;7;female;0;naturalistic;usa;7
73;english16;wise, virginia, usa;english;spanish;21;male;0;naturalistic;usa;21
74;english17;darwin va, virginia, usa;english;none;79;male;0;naturalistic;usa;79
75;english18;dickenson county, virginia, usa;english;none;39;female;0;naturalistic;usa;39
76;english19;louisville, kentucky, usa;english;spanish;53;male;0;naturalistic;usa;53
77;english2;birmingham, uk;english;german mandarin;30;female;0;naturalistic;uk;30
78;english20;mt. holly, north carolina, usa;english;none;27;female;0;naturalistic;usa;27
79;english21;boston, massachusetts, usa;english;italian;37;female;0;naturalistic;usa;37
80;english22;panama city, panama;english;spanish;25;female;0;naturalistic;usa;5
81;english23;englewood, tennessee, usa;english;none;43;male;0;naturalistic;usa;43
82;english24;glasgow, scotland, uk;english;french;37;male;0;naturalistic;uk,usa;37
83;english25;atlanta, georgia, usa;english;none;57;male;0;naturalistic;usa;57
84;english26;smith island, maryland, usa;english;none;71;male;0;naturalistic;usa;71
85;english27;smith island, maryland, usa;english;none;37;female;0;naturalistic;usa;37
86;english28;toronto, ontario, canada;english;french russian;54;male;0;naturalistic;canada;54
87;english29;lindsay, ontario, canada;english;none;54;female;0;naturalistic;canada;54
88;english3;brisbane, australia;english;none;26;female;0;naturalistic;australia;26
89;english30;st. mary&#39;s, ontario, canada;english;french swedish;30;female;0;naturalistic;canada;30
90;english31;st. augustine, trinidad;english;none;31;female;0;naturalistic;trinidad,usa;31
91;english32;fresno, california, usa;english;none;50;female;0;naturalistic;usa;50
92;english33;san diego, california, usa;english;none;21;male;0;naturalistic;usa;21
93;english34;ronkonkoma, new york, usa;english;french;18;female;0;naturalistic;usa;18
94;english35;milwaukee, wisconsin, usa;english;spanish;60;female;0;naturalistic;usa;60
95;english36;arcadia, wisconsin, usa;english;none;60;male;0;naturalistic;usa;60
96;english37;yole, india;english;hindi-urdu french;28;female;0;naturalistic;usa;7
97;english38;littlehampton, uk;english;none;27;male;0;naturalistic;uk;27
98;english39;new orleans, louisiana, usa;english;none;59;female;0;naturalistic;usa;59
99;english4;saint anne&#39;s bay, jamaica;english;spanish french;53;female;0;naturalistic;jamaica,usa;53
100;english40;dudley, uk;english;none;53;male;0;naturalistic;uk;53
101;english41;wellington, new zealand;english;hebrew french;44;male;0;naturalistic;new zealand;21
102;english42;nigel, south africa;english;afrikaans zulu;65;male;0;naturalistic;south africa;60
103;english43;vancouver, british columbia, canada;english;none;47;male;0;naturalistic;canada;47
104;english44;winston salem, north carolina, usa;english;spanish french;63;female;0;naturalistic;usa;63
105;english45;pine bluff, arkansas, usa;english;none;52;male;0;naturalistic;usa;52
106;english46;creswell, north carolina, usa;english;none;73;male;0;naturalistic;usa;73
107;english47;plantersville, arkansas, usa;english;none;76;female;0;naturalistic;usa;76
108;english48;port moresby, national capital district, papua new guinea;english;tok pisin igbo;26;male;0;naturalistic;papua new guinea,uk,usa;26
109;english49;castro valley, california, usa;english;none;43;male;0;naturalistic;usa;43
110;english5;fairfax, virginia, usa;english;none;62;male;0;naturalistic;usa;62
111;english50;baltic, south dakota, usa;english;french;29;female;0;naturalistic;usa;29
112;english51;detroit, michigan, usa;english;italian;67;male;0;naturalistic;usa;67
113;english52;calgary, alberta, canada;english;none;20;male;0;naturalistic;canada, usa;20
114;english53;syracuse, new york, usa;english;none;63;male;0;naturalistic;usa;63
115;english54;new albany, indiana, usa;english;none;40;female;0;naturalistic;usa;40
116;english55;st. louis, missouri, usa;english;none;53;female;0;naturalistic;usa;53
117;english56;londonderry, northern ireland, uk;english;ulster scots;20;male;0;naturalistic;northern ireland;20
118;english57;birmingham 1;uk;english;french spanish;34;male;0;naturalistic;uk,canada;34
119;english58;southhampton, uk;english;none;46;female;0;naturalistic;uk,usa;16
120;english59;columbus, ohio, usa;english;greek german;30;male;0;naturalistic;usa;30
121;english6;brooklyn, new york, usa;english;french spanish;45;female;0;naturalistic;usa;45
122;english60;chesapeake, virginia, usa;english;none;18;male;0;naturalistic;usa;18
123;english61;toronto, ontario, canada;english;none;19;male;0;naturalistic;canada;19
124;english62;west jordan, utah, usa;english;none;30;male;0;naturalistic;usa;30
125;english63;lewisville, texas, usa;english;spanish;21;male;0;naturalistic;usa;21
126;english64;montreal, quebec, canada;english;french;25;female;0;naturalistic;canada;25
127;english65;lewistown, pennsylvania, usa;english;none;47;male;0;naturalistic;usa;47
128;english66;baltimore, maryland, usa;english;none;19;male;0;naturalistic;usa;19
129;english67;princeton, indiana, usa;english;french;37;male;0;naturalistic;usa;37
130;english68;new york, new york, usa;english;none;52;male;0;naturalistic;usa;52
131;english69;adelaide, australia;english;korean;23;male;0;naturalistic;australia;23
132;english7;macon, mississippi, usa;english;spanish french;52;male;0;naturalistic;usa;52
133;english70;beaumont, texas, usa;english;none;21;male;0;naturalistic;usa;21
134;english71;west covina, california, usa;english;none;20;male;0;naturalistic;usa;20
135;english72;kilkenny, ireland;english;irish;31;male;0;naturalistic;ireland;31
136;english73;darwin, australia;english;none;24;male;0;naturalistic;australia;24
137;english74;wichita, kansas, usa;english;spanish;21;male;0;naturalistic;usa;21
138;english75;idaho falls, idaho, usa;english;none;32;male;0;naturalistic;usa;32
139;english76;boston, massachusetts, usa;english;french spanish hebrew;18;female;0;naturalistic;usa;18
140;english77;melbourne, australia;english;japanese;26;male;0;naturalistic;australia;26
141;english78;caribou, maine, usa;english;french;20;female;0;naturalistic;usa;20
142;english79;boston, massachusetts, usa;english;none;73;male;0;naturalistic;usa;73
143;english8;perth, australia;english;french;21;female;0;naturalistic;australia,usa;4
144;english80;glasgow, scotland, uk;english;none;34;male;0;naturalistic;uk, canada;34
145;english81;st. paul, minnesota, usa;english;spanish;30;male;0;naturalistic;usa;30
146;english82;chicago, illinois, usa;english;none;50;female;0;naturalistic;usa;50
147;english83;winnfield, louisiana, usa;english;french;42;female;0;naturalistic;usa;42
148;english84;sydney, australia;english;tok pisin;45;male;0;naturalistic;australia;45
149;english85;strabane, northern ireland, uk;english;none;31;male;0;naturalistic;uk;31
150;english86;charleston, south carolina, usa;english;spanish;50;male;0;naturalistic;usa;50
151;english87;tamworth, australia;english;esperanto german;18;female;0;naturalistic;australia;18
152;english88;grand rapids, michigan, usa;english;none;18;male;0;naturalistic;usa;18
153;english89;kingston ma, massachusetts, usa;english;spanish;18;male;0;naturalistic;usa;18
154;english9;carthage, texas, usa;english;spanish;48;female;0;naturalistic;usa;48
155;english90;pittsburgh, pennsylvania, usa;english;none;53;male;0;naturalistic;usa;53
156;english91;kingston, jamaica;english;patois;23;male;0;naturalistic;jamaica;23
157;english92;wisconsin rapids, wisconsin, usa;english;none;22;female;0;naturalistic;usa;22
158;english93;mamou, louisiana, usa;english;none;22;female;0;naturalistic;usa;22
159;english94;pensacola, florida, usa;english;none;55;female;0;naturalistic;usa;55
160;english95;mishawaka, indiana, usa;english;none;18;male;0;naturalistic;usa;18
161;english96;point pleasant, new jersey, usa;english;russian;31;male;0;naturalistic;usa;31
162;english97;wilmington nc, north carolina, usa;english;spanish;42;male;0;naturalistic;usa;42
163;english98;spokane, washington, usa;english;spanish;22;male;0;naturalistic;usa;22
164;english99;pittsburgh, pennsylvania, usa;english;french spanish;52;female;0;naturalistic;usa;52
165;ewe1;accra, ghana;ewe;twi ga;25;male;9;academic;usa;12
166;fang1;malabo, equatorial guinea;fang;french spanish;20;female;11;academic;usa;1
167;fanti1;ajumako, ghana;fanti;none;32;male;6;academic;usa;7
168;farsi1;tehran, iran;farsi;german;22;male;13;academic;usa;0.6
169;farsi2;esfahan, iran;farsi;none;34;female;18;academic;usa;1.5
170;farsi3;esfahan, iran;farsi;arabic;28;female;14;academic;usa;3
171;farsi4;mazandran, iran;farsi;arabic;21;female;15;academic;usa;1.5
172;farsi5;tehran, iran;farsi;turkish;43;male;14;academic;usa;22
173;farsi6;tehran, iran;farsi;arabic;27;male;9;naturalistic;usa;6
174;farsi7;tehran, iran;farsi;none;29;male;11;academic;usa;2
175;farsi8;tehran, iran;farsi;french;29;female;11;academic;usa;1.75
176;farsi9;tehran, iran;farsi;none;39;male;12;academic;;0
177;finnish1;lahti, finland;finnish;swedish german;22;female;9;academic;usa;0.5
178;finnish2;helsinki, finland;finnish;swedish;20;male;7;academic;;0
179;french1;st. laurent d&#39;onay, france;french;spanish;20;female;12;academic;usa;0.4
180;french2;tunis, tunisia;french;arabic;19;male;14;academic;usa;0.5
181;french3;nice, france;french;german;22;female;11;academic;usa;0.2
182;french4;abidjan, ivory coast;french;appolo baoule;31;female;14;academic;usa;9
183;french5;douala, cameroon;french;pidgin banganthe;36;female;11;academic;usa;4
184;french6;booue, gabon;french;none;26;female;13;academic;usa;1
185;french7;rimouski, quebec, canada;french;none;18;male;5;academic;canada;18
186;french8;ghent, belgium;french;german dutch italian;66;male;16;academic;;0
187;frisian1;akkrum, friesland, netherlands;frisian;dutch german french;62;male;13;academic;usa,canada;27
188;georgian1;tbilisi, republic of georgia;georgian;russian;30;female;28;academic;usa;2
189;german1;dusseldorf, germany;german;french dutch;48;female;12;academic;usa;25
190;german2;bemberg, germany;german;none;29;female;12;academic;usa;0.5
191;german3;meissen, germany;german;french latin;19;female;12;academic;usa;0.5
192;german4;stuttgart, germany;german;french italian;19;female;11;academic;usa;0.5
193;german5;halle, germany;german;none;47;male;12;academic;usa;0.2
194;german6;vienna, austria;german;russian ukrainian italian hungarian;28;male;8;academic;;0
195;greek1;athens, greece;greek;none;19;male;9;academic;usa;0.25
196;greek2;athens, greece;greek;french;26;female;9;academic;usa;1.5
197;greek3;karprenici, greece;greek;none;37;female;15;academic;usa;22
198;gujarati1;ahmedabad, india;gujarati;hindi-urdu;20;male;15;academic;usa;0.5
199;gujarati2;bombay, india;gujarati;hindi-urdu sanskrit punjabi;22;male;8;academic;usa;0.3
200;gujarati3;limerick, ireland;gujarati;hindi-urdu;28;female;2;naturalistic;india,usa,ireland;3
201;gusii1;nairobi, kenya;gusii;kiswahili kikuyu;44;male;12;academic;usa;15
202;hebrew1;yehud, israel;hebrew;none;23;male;10;academic;;0
203;hebrew2;jerusalem, israel;hebrew;none;24;male;10;academic;;0
204;hebrew3;haifa, israel;hebrew;none;33;male;8;academic;usa;1.5
205;hebrew4;haifa, israel;hebrew;spanish;20;female;9;academic;canada;0.5
206;hebrew5;netanya, israel;hebrew;none;23;male;10;academic;usa;3
207;hindi1;nagpur, maharashtra, india;hindi;marathi punjabi;27;male;2;academic;uk,usa;3.5
208;xiang1;taipei, taiwan;xiang;mandarin japanese cantonese;50;female;14;academic;usa;30
209;hungarian1;cegled, hungary;hungarian;none;22.5;female;20;academic;uk,usa;1.5
210;hungarian2;clug, romania;hungarian;romanian german;22;female;8;academic;usa;1
211;hungarian3;brasov, romania;hungarian;romanian;34;male;8;academic;usa;5
212;igbo1;imo state, imo state, nigeria;igbo;none;23;female;12;academic;usa;0.4
213;indonesian1;jakarta, indonesia;indonesian;none;31;male;13;academic;usa;11
214;indonesian2;jakarta, indonesia;indonesian;dutch german swedish;18;male;13;academic;canada;2.5
215;indonesian3;jakarta, indonesia;indonesian;none;32;female;13;academic;usa;0.6
216;indonesian4;jakarta, indonesia;indonesian;javanese sundanese spanish mandarin japanese;30;female;10;academic;usa;6.5
217;italian1;carbonia, italy;italian;french;29;female;22;academic;usa;3.5
218;italian2;caltanissetta, sicily, italy;italian;latin french spanish;46;male;18;academic;usa;0.3
219;italian3;florence, italy;italian;french japanese;55;male;21;academic;usa;34
220;italian4;cremona, italy;italian;none;47;female;11;academic;usa;0.2
221;japanese1;tokyo, japan;japanese;sign language;25;female;12;academic;usa;2
222;japanese2;tokyo, japan;japanese;none;27;female;12;academic;usa;1.3
223;japanese3;kofu, yamanashi prefecture, japan;japanese;german;49;female;12;academic;usa;3
224;japanese4;tokyo, japan;japanese;none;20;male;15;academic;usa;0.75
225;japanese5;chiba, japan;japanese;mandarin;25;female;12;academic;usa;0.4
226;japanese6;kawasaki, japan;japanese;spanish;30;female;10;academic;usa,canada;12
227;japanese7;osaka, japan;japanese;german;18;male;12;academic;;0
228;kannada1;bangalore, india;kannada;hindi-urdu;26;female;5;academic;usa;4
229;kazakh1;semey, kazakhstan;kazakh;russian italian turkish;18;male;9;academic;;0
230;khmer1;phnom penh, cambodia;khmer;none;21;female;16;academic;usa;3
231;khmer2;phnom penh, cambodia;khmer;none;19;male;16;academic;usa;4
232;khmer3;baling, kampongthum, cambodia;khmer;french;46;male;25;academic;usa;5.5
233;kyrgyz1;bishkek, kyrgyzstan;kyrgyz;russian;32;female;28;academic;usa;2
234;kiswahili1;dar-es-salaam, tanzania;kiswahili;chagga;22;male;6;academic;usa;0.3
235;kiswahili2;kigoma, tanzania;kiswahili;kiha;28;male;16;academic;usa;0.3
236;kiswahili3;nairobi, kenya;kiswahili;kikuyu;29;male;6;academic;usa;10
237;kiswahili4;goma, north kivu, democratic republic of congo;kiswahili;french lingala;36;male;34;academic;usa;1
238;korean1;ui jong bu, south korea;korean;french;29;male;13;academic;usa;1.1
239;korean2;taegu, south korea;korean;none;23;female;14;academic;usa;0.1
240;korean3;seoul, south korea;korean;spanish;19;female;17;academic;usa;0.6
241;korean4;seoul, south korea;korean;none;29;female;15;academic;usa;2
242;korean5;seoul, south korea;korean;none;50;female;12;academic;usa;23
243;korean6;sunchun, south korea;korean;none;21;female;12;academic;;0
244;korean7;seoul, south korea;korean;french;32;male;10;academic;usa;23
245;krio1;freetown, sierra leone;krio;none;46;female;5;academic;usa;16
246;kurdish1;arbil, iraq;kurdish;french farsi;24;male;15;academic;usa;1.5
247;lamaholot1;leworook, nusa tenggara, indonesia;lamaholot;indonesian sikka kupang nagi;30;male;13;academic;usa;0.25
248;lao1;savannakhet, laos;lao;none;19;female;12;academic;usa;1
249;lao2;vientiane, laos;lao;thai;25;female;21;academic;usa;3
250;latvian1;riga, latvia;latvian;russian;24;female;13;academic;usa;0.2
251;lithuanian1;klaipeda, lithuania;lithuanian;russian german;27;female;24;naturalistic;usa;3
252;luo1;siaya, kenya;luo;swahili giriama;42;male;12;academic;uk, usa;2
253;macedonian1;ohrid, macedonia;macedonian;serbian bulgarian spanish;19;male;11;academic;usa;2.25
254;malay1;kuala lumpur, malaysia;malay;italian arabic spanish;28;female;3;academic;usa;10.5
255;malayalam1;kerala state, kerala state, india;malayalam;hindi-urdu;24;male;5;academic;usa;0.7
256;mandarin1;shanxi province, shanxi, china;mandarin;none;26;female;13;academic;usa;2
257;mandarin2;nanjing, china;mandarin;japanese;38;female;14;academic;usa;0.8
258;mandarin3;jilin city, jilin, china;mandarin;italian german french;43;male;10;academic;usa;14
259;mandarin4;shanghai, china;mandarin;japanese;24;female;6;academic;usa;1
260;mandarin5;beijing, china;mandarin;none;31;female;12;academic;usa;2
261;mandarin6;le shan, sichuan, china;mandarin;none;28;female;12;academic;usa;5
262;mandarin7;berkeley, california, usa;mandarin;mandarin;22;male;5;naturalistic;usa;22
263;mandingo1;freetown, sierra leone;mandingo;krio mende temne;36;male;9;academic;usa;3.5
264;marathi1;bombay, india;marathi;gujarati hindi-urdu;21;female;3;academic;usa;4
265;marathi2;madras, india;marathi;hindi-urdu;28;male;10;academic;usa;0.5
266;mauritian1;port louis, mauritius;mauritian;french;21;male;5;academic;usa;0.2
267;mongolian1;ulaanbaatar, mongolia;mongolian;russian;18;female;15;naturalistic;usa;3
268;mongolian2;ulaanbaatar, mongolia;mongolian;russian;22;male;17;academic;usa;0.25
269;moore1;tenkodogo, burkina faso;moore;french;29;female;12;academic;usa;8
270;mortlockese1;weno, chuuk, federated states of micronesia;mortlockese;chuukese pohnpeian;21;male;6;academic;usa;3
271;nepali1;kathmandu, nepal;nepali;hindi-urdu;22;female;5;academic;usa;4
272;norwegian1;drammen, norway;norwegian;french;33;female;10;academic;usa;0.3
273;norwegian2;oslo, norway;norwegian;french german;55;female;12;academic;usa;32
274;norwegian3;volda, norway;norwegian;swedish danish german;19;male;5;naturalistic;usa;0.8
275;oromo1;wellga, ethiopia;oromo;amharic;33;female;11;academic;usa;11
276;pohnpeian1;kolonia, pohnpei, federated states of micronesia;pohnpeian;chuukese;18;male;3;naturalistic;usa;0.25
277;polish1;janow, poland;polish;german;26;female;23;academic;usa;0.25
278;polish2;mielec, poland;polish;russian german;26;female;25;academic;usa;1
279;polish3;nowy sacz, poland;polish;russian japanese spanish;31;female;12;academic;usa;10
280;polish4;krakow, poland;polish;russian german slovak;47;female;15;academic;usa;14
281;portuguese1;bahia, brazil;portuguese;spanish;37;female;16;academic;usa;1
282;portuguese10;novo hamburgo, rio grande do sul, brazil;portuguese;spanish;21;male;13;academic;usa;0.5
283;portuguese2;brasilia, brazil;portuguese;spanish;18;female;10;academic;usa;0.2
284;portuguese3;blumenau, brazil;portuguese;spanish;18;female;15;academic;usa;1.2
285;portuguese4;cabinda, angola;portuguese;french spanish;20;male;15;academic;usa;1
286;portuguese5;lubango, angola;portuguese;spanish german;31;male;13;academic;usa;1
287;portuguese6;sao paulo, brazil;portuguese;none;44;male;15;academic;usa;0.1
288;portuguese7;vitoria, brazil;portuguese;spanish;40;male;11;naturalistic;;0
289;portuguese8;fortaleza, brazil;portuguese;french spanish;26;male;7;academic;uk;8.5
290;portuguese9;sao paulo, brazil;portuguese;french spanish;18;male;14;academic;usa;2
291;punjabi1;sargodha, pakistan;punjabi;urdu;34;male;10;academic;usa;0.25
292;punjabi2;hoshiarpur, india;punjabi;hindi-urdu thai;26;male;10;academic;usa;0.6
293;quechua1;cochabamba, bolivia;quechua;spanish;53;female;15;academic;usa;8
294;quechua2;huanuco, provincia dos de mayo, peru;quechua;spanish portuguese;32;female;27;naturalistic;usa;5
295;romanian1;timisoara, romania;romanian;russian;24;male;12;academic;usa;1
296;romanian2;bucharest, romania;romanian;spanish;62;male;14;academic;usa;22
297;romanian3;birtem, romania;romanian;none;50;male;32;naturalistic;usa;18
298;romanian4;bucharest, romania;romanian;german french;35;female;32;naturalistic;;0
299;russian1;nizhni novgorod, russia;russian;none;37;male;36;academic;usa;1
300;russian10;moscow, russia;russian;french polish german japanese welsh;20;female;5;academic;uk;0.5
301;russian11;ola magadan, russia;russian;french german;54;male;13;academic;usa;15
302;russian2;izmail, ukraine;russian;polish czech;50;female;10;academic;usa;7
303;russian3;zaporizhzhya, ukraine;russian;ukrainian;35;female;6;academic;usa;7
304;russian4;moscow, russia;russian;albanian;68;female;38;academic;usa;9
305;russian5;khabarovsk, russia;russian;hebrew;25;female;15;academic;usa;0.3
306;russian6;moscow, russia;russian;none;26;female;11;academic;usa;3
307;russian7;kiev, ukraine;russian;ukrainian;54;female;13;academic;usa;23
308;russian8;moscow, russia;russian;none;66;male;12;academic;usa;27
309;russian9;moscow, russia;russian;hebrew italian;23;male;7;academic;;0
310;sardinian1;zofingen, switzerland;sardinian;german;35;female;11;academic;usa,uk;13
311;sarua1;ndjamena, chad;sarua;arabic french;21;male;10;academic;usa;0.1
312;satawalese1;satawal island, yap state, federated states of micronesia;satawalese;woleaian ulithian chuukese;41;male;6;academic;federated states of micronesia;41
313;satawalese2;satawal island, yap state, federated states of micronesia;satawalese;woleaian ulithian chuukese;30;female;6;academic;federated states of micronesia;30
314;serbian1;bosanska krupa, bosnia;serbian;german;47;female;47;academic;usa;1
315;serbian2;zrenjanin, serbia, serbia;serbian;german;36;male;15;academic;usa;0.8
316;sicilian1;fiumedinisi, sicily;sicilian;italian spanish french;77;male;23;naturalistic;usa;54
317;sinhala1;colombo, sri lanka;sinhala;none;33;female;4;academic;usa;7
318;sinhala2;colombo, sri lanka;sinhala;malay;28;female;11;academic;usa;15
319;slovak1;kosice, slovak republic;slovak;russian;25;female;14;academic;usa;0.3
320;slovak2;piestany, slovak republic;slovak;german russian;23;female;17;academic;usa;0.6
321;slovak3;nitra, slovak republic;slovak;russian;51;female;16;academic;usa;20
322;somali1;mogadishu, somalia;somali;arabic;26;female;24;academic;usa;4
323;spanish1;caracas, venezuela;spanish;none;24;male;17;academic;usa;0.3
324;spanish10;san luis de la reina, el salvador;spanish;none;48;male;47;academic;usa;10
325;spanish11;lima, peru;spanish;none;49;female;28;academic;usa;9
326;spanish12;oviedo, spain;spanish;french;25;male;8;academic;usa;5
327;spanish13;duitama, colombia;spanish;none;29;female;11;academic;usa;1.2
328;spanish14;pereira, colombia;spanish;none;34;female;15;academic;usa;1
329;spanish15;san juan, puerto rico;spanish;portuguese;54;male;4;academic;usa;21
330;spanish16;buenos aires, argentina;spanish;french german;44;male;25;naturalistic;usa;19
331;spanish17;puebla, mexico;spanish;none;22;female;9;academic;usa;10
332;spanish18;la paz, bolivia;spanish;none;22;male;17;academic;usa;2
333;spanish19;havana, cuba;spanish;none;25;female;17;academic;usa;5
334;spanish2;puerto la cruz, venezuela;spanish;german;20;male;12;academic;usa;0.5
335;spanish20;managua, nicaragua;spanish;none;45;male;30;academic;usa;18
336;spanish21;santiago, chile;spanish;none;25;male;18;naturalistic;;0
337;spanish22;madrid, spain;spanish;german;32;female;11;academic;usa;0.8
338;spanish23;santiago, chile;spanish;swedish italian;22;male;7;academic;usa;0.1
339;spanish24;mexico city, mexico;spanish;french;27;male;5;academic;usa;1.8
340;spanish25;san jose, costa rica;spanish;italian french;26;male;21;academic;usa;5
341;spanish26;burgos, spain;spanish;french german swedish esperanto;18;male;6;academic;;0
342;spanish27;zaragoza, spain;spanish;none;34;male;14;academic;ireland;0.1
343;spanish28;san miguel, el salvador;spanish;none;20;female;18;academic;usa;2
344;spanish3;bogota, colombia;spanish;none;17;female;16;academic;usa;0.1
345;spanish4;cabanas, el salvador;spanish;none;21;female;17;academic;usa;4
346;spanish5;bogota, colombia;spanish;french german;52;female;13;naturalistic;usa;17
347;spanish6;lima, peru;spanish;none;20;male;19;academic;usa;1
