,speaker_id,file_name,sample_name,birth_place,native_langs,other_langs,age,sex,age_of_english_onset,english_learning_method,english_residence,years_of_english_residence,class_labels,primary_lang_group,secondary_lang_group,primary_lang_group_id,secondary_lang_group_id
79,1013,arabic27,arabic27,"jerusalem, israel",arabic,farsi hebrew,70.0,male,10.0,academic,usa,30.0,7,Afro-Asiatic,Semitic,1,102
80,1115,arabic28,arabic28,"al-ayn, united arab emirates",arabic,none,30.0,male,12.0,academic,usa,1.0,7,Afro-Asiatic,Semitic,1,102
81,1116,arabic29,arabic29,"doha, qatar",arabic,none,19.0,male,17.0,academic,usa,0.3,7,Afro-Asiatic,Semitic,1,102
82,1133,arabic30,arabic30,"riyadh, saudi arabia",arabic,none,19.0,female,8.0,naturalistic,usa,11.0,7,Afro-Asiatic,Semitic,1,102
83,1181,arabic31,arabic31,"baghdad, iraq",arabic,none,47.0,female,12.0,academic,usa,0.3,7,Afro-Asiatic,Semitic,1,102
84,1203,arabic32,arabic32,"baghdad, iraq",arabic,none,42.0,male,12.0,academic,usa,16.0,7,Afro-Asiatic,Semitic,1,102
85,1204,arabic33,arabic33,"baghdad, iraq",arabic,none,28.0,female,11.0,academic,usa,0.3,7,Afro-Asiatic,Semitic,1,102
86,1253,arabic34,arabic34,"kuwait city, kuwait",arabic,french,34.0,female,6.0,academic,usa,4.0,7,Afro-Asiatic,Semitic,1,102
87,1391,arabic35,arabic35,"jiddah, saudi arabia",arabic,none,56.0,male,16.0,naturalistic,usa,33.0,7,Afro-Asiatic,Semitic,1,102
88,1392,arabic36,arabic36,"jiddah, saudi arabia",arabic,none,36.0,male,6.0,academic,"usa, uk",6.0,7,Afro-Asiatic,Semitic,1,102
89,1393,arabic37,arabic37,"jiddah, saudi arabia",arabic,none,18.0,male,16.0,academic,usa,0.4,7,Afro-Asiatic,Semitic,1,102
90,1394,arabic38,arabic38,"shady grove, maryland, usa",arabic,none,19.0,female,9.0,academic,usa,12.0,7,Afro-Asiatic,Semitic,1,102
91,1405,arabic39,arabic39,"jiddah, saudi arabia",arabic,none,22.0,male,5.0,academic,usa,2.0,7,Afro-Asiatic,Semitic,1,102
92,1420,arabic40,arabic40,"jiddah, saudi arabia",arabic,none,19.0,male,13.0,academic,usa,0.1,7,Afro-Asiatic,Semitic,1,102
93,1421,arabic41,arabic41,"riyadh, saudi arabia",arabic,none,25.0,male,7.0,academic,usa,1.5,7,Afro-Asiatic,Semitic,1,102
94,1422,arabic42,arabic42,"jiddah, saudi arabia",arabic,none,21.0,male,13.0,academic,usa,0.5,7,Afro-Asiatic,Semitic,1,102
95,1426,arabic43,arabic43,"beirut, lebanon",arabic,french spanish,29.0,female,8.0,academic,,0.0,7,Afro-Asiatic,Semitic,1,102
96,1455,arabic44,arabic44,"jiddah, saudi arabia",arabic,none,29.0,female,7.0,academic,usa,0.6,7,Afro-Asiatic,Semitic,1,102
97,1456,arabic45,arabic45,"fort collins, colorado, usa",arabic,turkish,32.0,female,12.0,naturalistic,usa,0.5,7,Afro-Asiatic,Semitic,1,102
98,1457,arabic46,arabic46,"jiddah, saudi arabia",arabic,none,28.0,male,13.0,academic,"uk, usa",1.0,7,Afro-Asiatic,Semitic,1,102
99,1458,arabic47,arabic47,"jiddah, saudi arabia",arabic,none,39.0,male,16.0,academic,usa,0.75,7,Afro-Asiatic,Semitic,1,102
100,1459,arabic48,arabic48,"mecca, saudi arabia",arabic,none,29.0,male,12.0,academic,usa,1.0,7,Afro-Asiatic,Semitic,1,102
101,1460,arabic49,arabic49,"medina, saudi arabia",arabic,none,26.0,male,8.0,academic,usa,1.0,7,Afro-Asiatic,Semitic,1,102
102,1461,arabic50,arabic50,"jiddah, saudi arabia",arabic,none,36.0,male,22.0,academic,usa,0.75,7,Afro-Asiatic,Semitic,1,102
103,1486,arabic51,arabic51,"jiddah, saudi arabia",arabic,none,23.0,male,12.0,academic,usa,4.0,7,Afro-Asiatic,Semitic,1,102
104,1487,arabic52,arabic52,"jiddah, saudi arabia",arabic,none,21.0,female,9.0,academic,usa,5.0,7,Afro-Asiatic,Semitic,1,102
105,1526,arabic53,arabic53,"rabat, morocco",arabic,french tachelhit danish swedish,36.0,male,17.0,academic,usa,12.0,7,Afro-Asiatic,Semitic,1,102
106,1565,arabic54,arabic54,"baghdad, iraq",arabic,french,22.0,male,7.0,academic,usa,3.0,7,Afro-Asiatic,Semitic,1,102
107,1569,arabic55,arabic55,"beirut, lebanon",arabic,french,70.0,male,33.0,academic,usa,37.0,7,Afro-Asiatic,Semitic,1,102
108,1677,arabic56,arabic56,"ain defla, algeria",arabic,french,43.0,male,12.0,academic,usa,3.0,7,Afro-Asiatic,Semitic,1,102
109,1699,arabic57,arabic57,"beirut, lebanon",arabic,french,28.0,female,17.0,academic,usa,11.0,7,Afro-Asiatic,Semitic,1,102
110,1700,arabic58,arabic58,"baghdad, iraq",arabic,none,34.0,male,9.0,academic,usa,5.5,7,Afro-Asiatic,Semitic,1,102
111,1702,arabic59,arabic59,"irbid, jordan",arabic,german,55.0,male,9.0,academic,usa,35.0,7,Afro-Asiatic,Semitic,1,102
112,1711,arabic60,arabic60,"cairo, egypt",arabic,french,60.0,male,14.0,academic,usa,23.0,7,Afro-Asiatic,Semitic,1,102
113,1753,arabic61,arabic61,"manama, bahrain",arabic,turkish urdu,20.0,male,7.0,academic,usa,1.75,7,Afro-Asiatic,Semitic,1,102
114,1768,arabic62,arabic62,"ad dammam, saudi arabia",arabic,none,19.0,male,18.0,academic,usa,1.0,7,Afro-Asiatic,Semitic,1,102
115,1769,arabic63,arabic63,"bani walid, libya",arabic,none,28.0,female,10.0,academic,usa,0.3,7,Afro-Asiatic,Semitic,1,102
116,1777,arabic64,arabic64,"riyadh, saudi arabia",arabic,none,23.0,male,6.0,naturalistic,usa,3.0,7,Afro-Asiatic,Semitic,1,102
117,1778,arabic65,arabic65,"samail, oman",arabic,none,32.0,female,10.0,academic,"canada, usa",6.0,7,Afro-Asiatic,Semitic,1,102
118,1784,arabic66,arabic66,"medina, saudi arabia",arabic,none,50.0,male,14.0,academic,usa,1.0,7,Afro-Asiatic,Semitic,1,102
119,1785,arabic67,arabic67,"nasriah, iraq",arabic,none,43.0,male,22.0,academic,usa,20.0,7,Afro-Asiatic,Semitic,1,102
120,1805,arabic68,arabic68,"london, uk",arabic,none,20.0,male,6.0,naturalistic,"uk, usa",9.0,7,Afro-Asiatic,Semitic,1,102
121,1810,arabic69,arabic69,"kerma, sudan",arabic,nobiin,55.0,female,15.0,academic,"uk, usa",21.0,7,Afro-Asiatic,Semitic,1,102
122,1827,arabic70,arabic70,"casablanca, morocco",arabic,french spanish,47.0,male,16.0,academic,usa,25.0,7,Afro-Asiatic,Semitic,1,102
123,1828,arabic71,arabic71,"kuwait city, kuwait",arabic,turkish spanish,29.0,female,21.0,naturalistic,usa,8.0,7,Afro-Asiatic,Semitic,1,102
124,1832,arabic72,arabic72,"baghdad, iraq",arabic,none,20.0,female,11.0,academic,usa,4.8,7,Afro-Asiatic,Semitic,1,102
125,1841,arabic73,arabic73,"nazareth, israel",arabic,hebrew,47.0,female,7.0,academic,usa,28.0,7,Afro-Asiatic,Semitic,1,102
126,1870,arabic74,arabic74,"alexandria, egypt",arabic,french,18.0,male,4.0,academic,usa,0.4,7,Afro-Asiatic,Semitic,1,102
127,1885,arabic75,arabic75,"riyadh, saudi arabia",arabic,none,26.0,female,2.0,naturalistic,usa,5.2,7,Afro-Asiatic,Semitic,1,102
128,1892,arabic76,arabic76,"jiddah, saudi arabia",arabic,none,25.0,male,4.0,naturalistic,usa,0.2,7,Afro-Asiatic,Semitic,1,102
129,1894,arabic77,arabic77,"ad dammam, saudi arabia",arabic,korean japanese,18.0,female,4.0,naturalistic,usa,1.0,7,Afro-Asiatic,Semitic,1,102
130,1897,arabic78,arabic78,"washington, district of columbia, usa",arabic,none,19.0,female,3.0,naturalistic,usa,8.0,7,Afro-Asiatic,Semitic,1,102
131,1899,arabic79,arabic79,"medina, saudi arabia",arabic,none,24.0,female,13.0,academic,usa,1.0,7,Afro-Asiatic,Semitic,1,102
132,1901,arabic80,arabic80,"najran, saudi arabia",arabic,none,25.0,male,11.0,academic,usa,2.0,7,Afro-Asiatic,Semitic,1,102
133,1914,arabic81,arabic81,"riyadh, saudi arabia",arabic,german,22.0,male,17.0,naturalistic,usa,3.6,7,Afro-Asiatic,Semitic,1,102
134,1917,arabic82,arabic82,"damascus, syria",arabic,none,42.0,male,12.0,academic,usa,0.3,7,Afro-Asiatic,Semitic,1,102
135,1920,arabic83,arabic83,"riyadh, saudi arabia",arabic,none,22.0,male,21.0,academic,usa,1.0,7,Afro-Asiatic,Semitic,1,102
136,1927,arabic84,arabic84,"medina, saudi arabia",arabic,none,26.0,female,12.0,academic,usa,2.0,7,Afro-Asiatic,Semitic,1,102
137,1963,arabic85,arabic85,"ad dammam, saudi arabia",arabic,none,24.0,female,14.0,academic,usa,0.4,7,Afro-Asiatic,Semitic,1,102
138,1964,arabic86,arabic86,"cairo, egypt",arabic,french spanish,28.0,male,3.0,academic,"usa, canada",2.8,7,Afro-Asiatic,Semitic,1,102
139,2005,arabic87,arabic87,"kuwait city, kuwait",arabic,turkish,49.0,female,10.0,academic,usa,0.5,7,Afro-Asiatic,Semitic,1,102
140,2008,arabic88,arabic88,"beirut, lebanon",arabic,french,19.0,female,4.0,academic,usa,3.0,7,Afro-Asiatic,Semitic,1,102
141,2022,arabic89,arabic89,"baghdad, iraq",arabic,none,35.0,female,19.0,academic,usa,16.0,7,Afro-Asiatic,Semitic,1,102
142,2036,arabic90,arabic90,"tripoli, libya",arabic,turkish,23.0,female,12.0,academic,usa,2.5,7,Afro-Asiatic,Semitic,1,102
143,2086,arabic91,arabic91,"riyadh, saudi arabia",arabic,none,57.0,female,12.0,academic,usa,8.0,7,Afro-Asiatic,Semitic,1,102
144,2087,arabic92,arabic92,"baghdad, iraq",arabic,dutch,36.0,male,10.0,academic,usa,2.0,7,Afro-Asiatic,Semitic,1,102
145,2112,arabic93,arabic93,"baghdad, iraq",arabic,none,27.0,female,10.0,academic,usa,4.8,7,Afro-Asiatic,Semitic,1,102
146,2114,arabic94,arabic94,"abu dhabi, united arab emirates",arabic,none,24.0,female,9.0,academic,usa,9.0,7,Afro-Asiatic,Semitic,1,102
147,2143,arabic95,arabic95,"kuwait city, kuwait",arabic,none,31.0,female,10.0,academic,usa,1.0,7,Afro-Asiatic,Semitic,1,102
148,2153,arabic96,arabic96,"riyadh, saudi arabia",arabic,none,21.0,male,7.0,academic,usa,2.0,7,Afro-Asiatic,Semitic,1,102
149,2154,arabic97,arabic97,"sharjah, united arab emirates",arabic,none,19.0,female,4.0,academic,,0.0,7,Afro-Asiatic,Semitic,1,102
150,2155,arabic98,arabic98,"ras al khaimah, united arab emirates",arabic,none,19.0,female,4.0,academic,,0.0,7,Afro-Asiatic,Semitic,1,102
151,2157,arabic99,arabic99,"ad dammam, saudi arabia",arabic,none,25.0,female,16.0,academic,usa,2.0,7,Afro-Asiatic,Semitic,1,102
152,2159,arabic100,arabic100,"beirut, lebanon",arabic,french german,40.0,female,10.0,academic,usa,20.0,7,Afro-Asiatic,Semitic,1,102
153,2160,arabic101,arabic101,"doha, qatar",arabic,none,21.0,male,10.0,academic,usa,2.0,7,Afro-Asiatic,Semitic,1,102
154,2161,arabic102,arabic102,"jiddah, saudi arabia",arabic,french,22.0,male,3.0,academic,usa,5.0,7,Afro-Asiatic,Semitic,1,102
155,2196,arabic103,arabic103,"baghdad, iraq",arabic,none,29.0,male,10.0,academic,usa,3.0,7,Afro-Asiatic,Semitic,1,102
156,2200,arabic104,arabic104,"riyadh, saudi arabia",arabic,none,31.0,female,6.0,academic,usa,4.0,7,Afro-Asiatic,Semitic,1,102
157,2201,arabic105,arabic105,"riyadh, saudi arabia",arabic,none,23.0,female,12.0,academic,,0.0,7,Afro-Asiatic,Semitic,1,102
158,2202,arabic106,arabic106,"riyadh, saudi arabia",arabic,none,28.0,male,12.0,academic,uk,2.0,7,Afro-Asiatic,Semitic,1,102
159,2203,arabic107,arabic107,"riyadh, saudi arabia",arabic,none,28.0,male,12.0,academic,australia,2.0,7,Afro-Asiatic,Semitic,1,102
160,2204,arabic108,arabic108,"riyadh, saudi arabia",arabic,none,30.0,female,10.0,academic,,0.0,7,Afro-Asiatic,Semitic,1,102
161,2205,arabic109,arabic109,"riyadh, saudi arabia",arabic,none,19.0,female,10.0,academic,,0.0,7,Afro-Asiatic,Semitic,1,102
162,2216,arabic110,arabic110,"riyadh, saudi arabia",arabic,none,27.0,male,7.0,academic,uk,7.0,7,Afro-Asiatic,Semitic,1,102
163,2217,arabic111,arabic111,"riyadh, saudi arabia",arabic,none,20.0,female,5.0,academic,usa,3.0,7,Afro-Asiatic,Semitic,1,102
164,2218,arabic112,arabic112,"riyadh, saudi arabia",arabic,none,19.0,female,3.0,academic,usa,2.5,7,Afro-Asiatic,Semitic,1,102
165,2219,arabic113,arabic113,"riyadh, saudi arabia",arabic,spanish,20.0,female,1.0,naturalistic,usa,4.0,7,Afro-Asiatic,Semitic,1,102
166,2220,arabic114,arabic114,"amman, jordan",arabic,none,23.0,female,4.0,academic,"uk, usa",5.5,7,Afro-Asiatic,Semitic,1,102
167,2222,arabic115,arabic115,"damascus, syria",arabic,hindi,41.0,female,19.0,academic,usa,22.0,7,Afro-Asiatic,Semitic,1,102
168,2243,arabic116,arabic116,"al ras, saudi arabia",arabic,none,30.0,female,13.0,academic,usa,4.0,7,Afro-Asiatic,Semitic,1,102
169,2253,arabic117,arabic117,"al ras, saudi arabia",arabic,none,40.0,male,37.0,academic,usa,3.0,7,Afro-Asiatic,Semitic,1,102
170,2254,arabic118,arabic118,"riyadh, saudi arabia",arabic,none,40.0,male,13.0,academic,"australia, usa",3.0,7,Afro-Asiatic,Semitic,1,102
171,2256,arabic119,arabic119,"jiddah, saudi arabia",arabic,none,29.0,male,13.0,academic,"uk, usa",17.0,7,Afro-Asiatic,Semitic,1,102
172,2257,arabic120,arabic120,"riyadh, saudi arabia",arabic,amharic tagalog tigrigna,31.0,male,13.0,academic,usa,3.0,7,Afro-Asiatic,Semitic,1,102
173,2258,arabic121,arabic121,"riyadh, saudi arabia",arabic,none,28.0,male,5.0,academic,usa,3.0,7,Afro-Asiatic,Semitic,1,102
174,2268,arabic122,arabic122,"sabt alalaya, saudi arabia",arabic,none,31.0,male,28.0,academic,usa,6.0,7,Afro-Asiatic,Semitic,1,102
175,2304,arabic123,arabic123,"riyadh, saudi arabia",arabic,none,26.0,male,12.0,academic,usa,0.3,7,Afro-Asiatic,Semitic,1,102
176,2310,arabic124,arabic124,"geulmim, morocco",arabic,french tachelhit,42.0,male,17.0,academic,usa,18.0,7,Afro-Asiatic,Semitic,1,102
177,2311,arabic125,arabic125,"beersheba, israel",arabic,hebrew italian,69.0,male,12.0,academic,usa,12.0,7,Afro-Asiatic,Semitic,1,102
178,2312,arabic126,arabic126,"beersheba, israel",arabic,hebrew,51.0,male,10.0,academic,usa,24.0,7,Afro-Asiatic,Semitic,1,102
179,2313,arabic127,arabic127,"tarshiha-maalot, israel",arabic,hebrew,51.0,female,14.0,academic,usa,24.0,7,Afro-Asiatic,Semitic,1,102
180,2321,arabic128,arabic128,"riyadh, saudi arabia",arabic,none,40.0,male,13.0,academic,usa,1.3,7,Afro-Asiatic,Semitic,1,102
181,2331,arabic129,arabic129,"ramallah, palestine",arabic,none,48.0,male,11.0,academic,usa,20.0,7,Afro-Asiatic,Semitic,1,102
182,2344,arabic130,arabic130,"unizah, saudi arabia",arabic,spanish,31.0,male,12.0,academic,usa,4.5,7,Afro-Asiatic,Semitic,1,102
183,2345,arabic131,arabic131,"riyadh, saudi arabia",arabic,none,20.0,male,17.0,academic,usa,4.0,7,Afro-Asiatic,Semitic,1,102
184,2387,arabic132,arabic132,"cairo, egypt",arabic,spanish,29.0,female,19.0,naturalistic,usa,11.0,7,Afro-Asiatic,Semitic,1,102
185,2399,arabic133,arabic133,"abha, saudi arabia",arabic,none,24.0,female,12.0,academic,,0.0,7,Afro-Asiatic,Semitic,1,102
186,2407,arabic134,arabic134,"abha, saudi arabia",arabic,none,29.0,female,13.0,academic,usa,0.1,7,Afro-Asiatic,Semitic,1,102
187,2410,arabic135,arabic135,"riyadh, saudi arabia",arabic,none,34.0,female,12.0,academic,usa,1.0,7,Afro-Asiatic,Semitic,1,102
188,2411,arabic136,arabic136,"cardiff, wales, uk",arabic,none,19.0,female,14.0,naturalistic,usa,5.0,7,Afro-Asiatic,Semitic,1,102
189,2425,arabic137,arabic137,"al-ayn, united arab emirates",arabic,none,20.0,male,7.0,academic,usa,0.7,7,Afro-Asiatic,Semitic,1,102
190,2426,arabic138,arabic138,"riyadh, saudi arabia",arabic,none,25.0,male,12.0,academic,usa,0.2,7,Afro-Asiatic,Semitic,1,102
191,2427,arabic139,arabic139,"khartoum, sudan",arabic,none,28.0,male,5.0,academic,usa,23.0,7,Afro-Asiatic,Semitic,1,102
192,2433,arabic140,arabic140,"taif, saudi arabia",arabic,none,26.0,female,6.0,academic,usa,2.0,7,Afro-Asiatic,Semitic,1,102
193,2437,arabic141,arabic141,"cairo, egypt",arabic,spanish,35.0,male,12.0,academic,australia,12.0,7,Afro-Asiatic,Semitic,1,102
194,2452,arabic142,arabic142,"almajmaah, saudi arabia",arabic,none,25.0,male,13.0,academic,"canada, uk, usa",0.5,7,Afro-Asiatic,Semitic,1,102
195,2470,arabic143,arabic143,"medina, saudi arabia",arabic,none,20.0,female,12.0,academic,usa,1.0,7,Afro-Asiatic,Semitic,1,102
