speaker_id;file_name;sample_name;birth_place;native_langs;other_langs;age;sex;age_of_english_onset;english_learning_method;english_residence;years_of_english_residence;class_labels;primary_lang_group;secondary_lang_group;primary_lang_group_id;secondary_lang_group_id
14;albanian6 random gain;albanian6 random gain;prishtina, kosovo;albanian;serbian;25;female;11;academic;usa;10;0;Indo-European;Albanian;5;501
15;albanian7;albanian7;prishtina, kosovo;albanian;serbian;45;female;11;academic;usa;12;0;Indo-European;Albanian;5;501
15;albanian7 white noise;albanian7 white noise;prishtina, kosovo;albanian;serbian;45;female;11;academic;usa;12;0;Indo-European;Albanian;5;501
15;albanian7 time stretch;albanian7 time stretch;prishtina, kosovo;albanian;serbian;45;female;11;academic;usa;12;0;Indo-European;Albanian;5;501
15;albanian7 pitch scale;albanian7 pitch scale;prishtina, kosovo;albanian;serbian;45;female;11;academic;usa;12;0;Indo-European;Albanian;5;501
15;albanian7 random gain;albanian7 random gain;prishtina, kosovo;albanian;serbian;45;female;11;academic;usa;12;0;Indo-European;Albanian;5;501
16;albanian8;albanian8;prishtina, kosovo;albanian;serbian;43;female;9;academic;usa;13;0;Indo-European;Albanian;5;501
16;albanian8 white noise;albanian8 white noise;prishtina, kosovo;albanian;serbian;43;female;9;academic;usa;13;0;Indo-European;Albanian;5;501
16;albanian8 time stretch;albanian8 time stretch;prishtina, kosovo;albanian;serbian;43;female;9;academic;usa;13;0;Indo-European;Albanian;5;501
16;albanian8 pitch scale;albanian8 pitch scale;prishtina, kosovo;albanian;serbian;43;female;9;academic;usa;13;0;Indo-European;Albanian;5;501
16;albanian8 random gain;albanian8 random gain;prishtina, kosovo;albanian;serbian;43;female;9;academic;usa;13;0;Indo-European;Albanian;5;501
17;albanian9;albanian9;tirana, albania;albanian;german italian french spanish latin;22;female;6;naturalistic;usa;1.4;0;Indo-European;Albanian;5;501
17;albanian9 white noise;albanian9 white noise;tirana, albania;albanian;german italian french spanish latin;22;female;6;naturalistic;usa;1.4;0;Indo-European;Albanian;5;501
17;albanian9 time stretch;albanian9 time stretch;tirana, albania;albanian;german italian french spanish latin;22;female;6;naturalistic;usa;1.4;0;Indo-European;Albanian;5;501
17;albanian9 pitch scale;albanian9 pitch scale;tirana, albania;albanian;german italian french spanish latin;22;female;6;naturalistic;usa;1.4;0;Indo-European;Albanian;5;501
17;albanian9 random gain;albanian9 random gain;tirana, albania;albanian;german italian french spanish latin;22;female;6;naturalistic;usa;1.4;0;Indo-European;Albanian;5;501
18;albanian10;albanian10;elbasan, albania;albanian;french;30;male;11;naturalistic;usa;19;0;Indo-European;Albanian;5;501
18;albanian10 white noise;albanian10 white noise;elbasan, albania;albanian;french;30;male;11;naturalistic;usa;19;0;Indo-European;Albanian;5;501
18;albanian10 time stretch;albanian10 time stretch;elbasan, albania;albanian;french;30;male;11;naturalistic;usa;19;0;Indo-European;Albanian;5;501
18;albanian10 pitch scale;albanian10 pitch scale;elbasan, albania;albanian;french;30;male;11;naturalistic;usa;19;0;Indo-European;Albanian;5;501
18;albanian10 random gain;albanian10 random gain;elbasan, albania;albanian;french;30;male;11;naturalistic;usa;19;0;Indo-European;Albanian;5;501
19;albanian11;albanian11;gjilan, kosovo;albanian;spanish;24;female;13;academic;usa;8;0;Indo-European;Albanian;5;501
19;albanian11 white noise;albanian11 white noise;gjilan, kosovo;albanian;spanish;24;female;13;academic;usa;8;0;Indo-European;Albanian;5;501
19;albanian11 time stretch;albanian11 time stretch;gjilan, kosovo;albanian;spanish;24;female;13;academic;usa;8;0;Indo-European;Albanian;5;501
19;albanian11 pitch scale;albanian11 pitch scale;gjilan, kosovo;albanian;spanish;24;female;13;academic;usa;8;0;Indo-European;Albanian;5;501
19;albanian11 random gain;albanian11 random gain;gjilan, kosovo;albanian;spanish;24;female;13;academic;usa;8;0;Indo-European;Albanian;5;501
20;albanian12;albanian12;tirana, albania;albanian;italian;51;male;14;naturalistic;usa;27;0;Indo-European;Albanian;5;501
20;albanian12 white noise;albanian12 white noise;tirana, albania;albanian;italian;51;male;14;naturalistic;usa;27;0;Indo-European;Albanian;5;501
20;albanian12 time stretch;albanian12 time stretch;tirana, albania;albanian;italian;51;male;14;naturalistic;usa;27;0;Indo-European;Albanian;5;501
20;albanian12 pitch scale;albanian12 pitch scale;tirana, albania;albanian;italian;51;male;14;naturalistic;usa;27;0;Indo-European;Albanian;5;501
20;albanian12 random gain;albanian12 random gain;tirana, albania;albanian;italian;51;male;14;naturalistic;usa;27;0;Indo-European;Albanian;5;501
21;albanian13;albanian13;durres, albania;albanian;spanish;18;female;8;academic;usa;4;0;Indo-European;Albanian;5;501
21;albanian13 white noise;albanian13 white noise;durres, albania;albanian;spanish;18;female;8;academic;usa;4;0;Indo-European;Albanian;5;501
21;albanian13 time stretch;albanian13 time stretch;durres, albania;albanian;spanish;18;female;8;academic;usa;4;0;Indo-European;Albanian;5;501
21;albanian13 pitch scale;albanian13 pitch scale;durres, albania;albanian;spanish;18;female;8;academic;usa;4;0;Indo-European;Albanian;5;501
21;albanian13 random gain;albanian13 random gain;durres, albania;albanian;spanish;18;female;8;academic;usa;4;0;Indo-European;Albanian;5;501
22;albanian14;albanian14;tirana, albania;albanian;italian;23;female;9;academic;usa;4;0;Indo-European;Albanian;5;501
22;albanian14 white noise;albanian14 white noise;tirana, albania;albanian;italian;23;female;9;academic;usa;4;0;Indo-European;Albanian;5;501
22;albanian14 time stretch;albanian14 time stretch;tirana, albania;albanian;italian;23;female;9;academic;usa;4;0;Indo-European;Albanian;5;501
22;albanian14 pitch scale;albanian14 pitch scale;tirana, albania;albanian;italian;23;female;9;academic;usa;4;0;Indo-European;Albanian;5;501
22;albanian14 random gain;albanian14 random gain;tirana, albania;albanian;italian;23;female;9;academic;usa;4;0;Indo-European;Albanian;5;501
71;arabic18;arabic18;kuwait city, kuwait;arabic;french;18;male;6;academic;;0;2;Afro-Asiatic;Semitic;1;102
71;arabic18 white noise;arabic18 white noise;kuwait city, kuwait;arabic;french;18;male;6;academic;;0;2;Afro-Asiatic;Semitic;1;102
71;arabic18 time stretch;arabic18 time stretch;kuwait city, kuwait;arabic;french;18;male;6;academic;;0;2;Afro-Asiatic;Semitic;1;102
71;arabic18 pitch scale;arabic18 pitch scale;kuwait city, kuwait;arabic;french;18;male;6;academic;;0;2;Afro-Asiatic;Semitic;1;102
71;arabic18 random gain;arabic18 random gain;kuwait city, kuwait;arabic;french;18;male;6;academic;;0;2;Afro-Asiatic;Semitic;1;102
72;arabic19;arabic19;khouribga, morocco;arabic;french;43;male;18;academic;usa;8;2;Afro-Asiatic;Semitic;1;102
72;arabic19 white noise;arabic19 white noise;khouribga, morocco;arabic;french;43;male;18;academic;usa;8;2;Afro-Asiatic;Semitic;1;102
72;arabic19 time stretch;arabic19 time stretch;khouribga, morocco;arabic;french;43;male;18;academic;usa;8;2;Afro-Asiatic;Semitic;1;102
72;arabic19 pitch scale;arabic19 pitch scale;khouribga, morocco;arabic;french;43;male;18;academic;usa;8;2;Afro-Asiatic;Semitic;1;102
72;arabic19 random gain;arabic19 random gain;khouribga, morocco;arabic;french;43;male;18;academic;usa;8;2;Afro-Asiatic;Semitic;1;102
73;arabic20;arabic20;chtaura, beqa valley, lebanon;arabic;french german;36;male;12;academic;usa;1;2;Afro-Asiatic;Semitic;1;102
73;arabic20 white noise;arabic20 white noise;chtaura, beqa valley, lebanon;arabic;french german;36;male;12;academic;usa;1;2;Afro-Asiatic;Semitic;1;102
73;arabic20 time stretch;arabic20 time stretch;chtaura, beqa valley, lebanon;arabic;french german;36;male;12;academic;usa;1;2;Afro-Asiatic;Semitic;1;102
73;arabic20 pitch scale;arabic20 pitch scale;chtaura, beqa valley, lebanon;arabic;french german;36;male;12;academic;usa;1;2;Afro-Asiatic;Semitic;1;102
73;arabic20 random gain;arabic20 random gain;chtaura, beqa valley, lebanon;arabic;french german;36;male;12;academic;usa;1;2;Afro-Asiatic;Semitic;1;102
74;arabic21;arabic21;beirut, lebanon;arabic;french;46;female;30;naturalistic;usa;13;2;Afro-Asiatic;Semitic;1;102
74;arabic21 white noise;arabic21 white noise;beirut, lebanon;arabic;french;46;female;30;naturalistic;usa;13;2;Afro-Asiatic;Semitic;1;102
74;arabic21 time stretch;arabic21 time stretch;beirut, lebanon;arabic;french;46;female;30;naturalistic;usa;13;2;Afro-Asiatic;Semitic;1;102
74;arabic21 pitch scale;arabic21 pitch scale;beirut, lebanon;arabic;french;46;female;30;naturalistic;usa;13;2;Afro-Asiatic;Semitic;1;102
74;arabic21 random gain;arabic21 random gain;beirut, lebanon;arabic;french;46;female;30;naturalistic;usa;13;2;Afro-Asiatic;Semitic;1;102
75;arabic22;arabic22;abu dhabi, united arab emirates;arabic;french hebrew;23;female;10;academic;;0;2;Afro-Asiatic;Semitic;1;102
75;arabic22 white noise;arabic22 white noise;abu dhabi, united arab emirates;arabic;french hebrew;23;female;10;academic;;0;2;Afro-Asiatic;Semitic;1;102
75;arabic22 time stretch;arabic22 time stretch;abu dhabi, united arab emirates;arabic;french hebrew;23;female;10;academic;;0;2;Afro-Asiatic;Semitic;1;102
75;arabic22 pitch scale;arabic22 pitch scale;abu dhabi, united arab emirates;arabic;french hebrew;23;female;10;academic;;0;2;Afro-Asiatic;Semitic;1;102
75;arabic22 random gain;arabic22 random gain;abu dhabi, united arab emirates;arabic;french hebrew;23;female;10;academic;;0;2;Afro-Asiatic;Semitic;1;102
76;arabic23;arabic23;al mahalla, egypt;arabic;italian farsi french hebrew;42;male;13;academic;usa;8;2;Afro-Asiatic;Semitic;1;102
76;arabic23 white noise;arabic23 white noise;al mahalla, egypt;arabic;italian farsi french hebrew;42;male;13;academic;usa;8;2;Afro-Asiatic;Semitic;1;102
76;arabic23 time stretch;arabic23 time stretch;al mahalla, egypt;arabic;italian farsi french hebrew;42;male;13;academic;usa;8;2;Afro-Asiatic;Semitic;1;102
76;arabic23 pitch scale;arabic23 pitch scale;al mahalla, egypt;arabic;italian farsi french hebrew;42;male;13;academic;usa;8;2;Afro-Asiatic;Semitic;1;102
76;arabic23 random gain;arabic23 random gain;al mahalla, egypt;arabic;italian farsi french hebrew;42;male;13;academic;usa;8;2;Afro-Asiatic;Semitic;1;102
77;arabic24;arabic24;cairo, egypt;arabic;none;40;male;7;academic;uk;3;2;Afro-Asiatic;Semitic;1;102
77;arabic24 white noise;arabic24 white noise;cairo, egypt;arabic;none;40;male;7;academic;uk;3;2;Afro-Asiatic;Semitic;1;102
77;arabic24 time stretch;arabic24 time stretch;cairo, egypt;arabic;none;40;male;7;academic;uk;3;2;Afro-Asiatic;Semitic;1;102
77;arabic24 pitch scale;arabic24 pitch scale;cairo, egypt;arabic;none;40;male;7;academic;uk;3;2;Afro-Asiatic;Semitic;1;102
77;arabic24 random gain;arabic24 random gain;cairo, egypt;arabic;none;40;male;7;academic;uk;3;2;Afro-Asiatic;Semitic;1;102
78;arabic25;arabic25;ramun, israel (occupied territory);arabic;french spanish;38;male;5;naturalistic;usa;33;2;Afro-Asiatic;Semitic;1;102
78;arabic25 white noise;arabic25 white noise;ramun, israel (occupied territory);arabic;french spanish;38;male;5;naturalistic;usa;33;2;Afro-Asiatic;Semitic;1;102
78;arabic25 time stretch;arabic25 time stretch;ramun, israel (occupied territory);arabic;french spanish;38;male;5;naturalistic;usa;33;2;Afro-Asiatic;Semitic;1;102
78;arabic25 pitch scale;arabic25 pitch scale;ramun, israel (occupied territory);arabic;french spanish;38;male;5;naturalistic;usa;33;2;Afro-Asiatic;Semitic;1;102
78;arabic25 random gain;arabic25 random gain;ramun, israel (occupied territory);arabic;french spanish;38;male;5;naturalistic;usa;33;2;Afro-Asiatic;Semitic;1;102
79;arabic26;arabic26;amman, jordan;arabic;none;43;female;14;academic;usa;28;2;Afro-Asiatic;Semitic;1;102
79;arabic26 white noise;arabic26 white noise;amman, jordan;arabic;none;43;female;14;academic;usa;28;2;Afro-Asiatic;Semitic;1;102
79;arabic26 time stretch;arabic26 time stretch;amman, jordan;arabic;none;43;female;14;academic;usa;28;2;Afro-Asiatic;Semitic;1;102
79;arabic26 pitch scale;arabic26 pitch scale;amman, jordan;arabic;none;43;female;14;academic;usa;28;2;Afro-Asiatic;Semitic;1;102
79;arabic26 random gain;arabic26 random gain;amman, jordan;arabic;none;43;female;14;academic;usa;28;2;Afro-Asiatic;Semitic;1;102
80;arabic27;arabic27;jerusalem, israel;arabic;farsi hebrew;70;male;10;academic;usa;30;2;Afro-Asiatic;Semitic;1;102
80;arabic27 white noise;arabic27 white noise;jerusalem, israel;arabic;farsi hebrew;70;male;10;academic;usa;30;2;Afro-Asiatic;Semitic;1;102
80;arabic27 time stretch;arabic27 time stretch;jerusalem, israel;arabic;farsi hebrew;70;male;10;academic;usa;30;2;Afro-Asiatic;Semitic;1;102
80;arabic27 pitch scale;arabic27 pitch scale;jerusalem, israel;arabic;farsi hebrew;70;male;10;academic;usa;30;2;Afro-Asiatic;Semitic;1;102
80;arabic27 random gain;arabic27 random gain;jerusalem, israel;arabic;farsi hebrew;70;male;10;academic;usa;30;2;Afro-Asiatic;Semitic;1;102
81;arabic28;arabic28;al-ayn, united arab emirates;arabic;none;30;male;12;academic;usa;1;2;Afro-Asiatic;Semitic;1;102
81;arabic28 white noise;arabic28 white noise;al-ayn, united arab emirates;arabic;none;30;male;12;academic;usa;1;2;Afro-Asiatic;Semitic;1;102
81;arabic28 time stretch;arabic28 time stretch;al-ayn, united arab emirates;arabic;none;30;male;12;academic;usa;1;2;Afro-Asiatic;Semitic;1;102
81;arabic28 pitch scale;arabic28 pitch scale;al-ayn, united arab emirates;arabic;none;30;male;12;academic;usa;1;2;Afro-Asiatic;Semitic;1;102
81;arabic28 random gain;arabic28 random gain;al-ayn, united arab emirates;arabic;none;30;male;12;academic;usa;1;2;Afro-Asiatic;Semitic;1;102
82;arabic29;arabic29;doha, qatar;arabic;none;19;male;17;academic;usa;0.3;2;Afro-Asiatic;Semitic;1;102
82;arabic29 white noise;arabic29 white noise;doha, qatar;arabic;none;19;male;17;academic;usa;0.3;2;Afro-Asiatic;Semitic;1;102
82;arabic29 time stretch;arabic29 time stretch;doha, qatar;arabic;none;19;male;17;academic;usa;0.3;2;Afro-Asiatic;Semitic;1;102
82;arabic29 pitch scale;arabic29 pitch scale;doha, qatar;arabic;none;19;male;17;academic;usa;0.3;2;Afro-Asiatic;Semitic;1;102
82;arabic29 random gain;arabic29 random gain;doha, qatar;arabic;none;19;male;17;academic;usa;0.3;2;Afro-Asiatic;Semitic;1;102
83;arabic30;arabic30;riyadh, saudi arabia;arabic;none;19;female;8;naturalistic;usa;11;2;Afro-Asiatic;Semitic;1;102
83;arabic30 white noise;arabic30 white noise;riyadh, saudi arabia;arabic;none;19;female;8;naturalistic;usa;11;2;Afro-Asiatic;Semitic;1;102
83;arabic30 time stretch;arabic30 time stretch;riyadh, saudi arabia;arabic;none;19;female;8;naturalistic;usa;11;2;Afro-Asiatic;Semitic;1;102
83;arabic30 pitch scale;arabic30 pitch scale;riyadh, saudi arabia;arabic;none;19;female;8;naturalistic;usa;11;2;Afro-Asiatic;Semitic;1;102
83;arabic30 random gain;arabic30 random gain;riyadh, saudi arabia;arabic;none;19;female;8;naturalistic;usa;11;2;Afro-Asiatic;Semitic;1;102
84;arabic31;arabic31;baghdad, iraq;arabic;none;47;female;12;academic;usa;0.3;2;Afro-Asiatic;Semitic;1;102
84;arabic31 white noise;arabic31 white noise;baghdad, iraq;arabic;none;47;female;12;academic;usa;0.3;2;Afro-Asiatic;Semitic;1;102
84;arabic31 time stretch;arabic31 time stretch;baghdad, iraq;arabic;none;47;female;12;academic;usa;0.3;2;Afro-Asiatic;Semitic;1;102
84;arabic31 pitch scale;arabic31 pitch scale;baghdad, iraq;arabic;none;47;female;12;academic;usa;0.3;2;Afro-Asiatic;Semitic;1;102
84;arabic31 random gain;arabic31 random gain;baghdad, iraq;arabic;none;47;female;12;academic;usa;0.3;2;Afro-Asiatic;Semitic;1;102
85;arabic32;arabic32;baghdad, iraq;arabic;none;42;male;12;academic;usa;16;2;Afro-Asiatic;Semitic;1;102
85;arabic32 white noise;arabic32 white noise;baghdad, iraq;arabic;none;42;male;12;academic;usa;16;2;Afro-Asiatic;Semitic;1;102
85;arabic32 time stretch;arabic32 time stretch;baghdad, iraq;arabic;none;42;male;12;academic;usa;16;2;Afro-Asiatic;Semitic;1;102
85;arabic32 pitch scale;arabic32 pitch scale;baghdad, iraq;arabic;none;42;male;12;academic;usa;16;2;Afro-Asiatic;Semitic;1;102
85;arabic32 random gain;arabic32 random gain;baghdad, iraq;arabic;none;42;male;12;academic;usa;16;2;Afro-Asiatic;Semitic;1;102
86;arabic33;arabic33;baghdad, iraq;arabic;none;28;female;11;academic;usa;0.3;2;Afro-Asiatic;Semitic;1;102
86;arabic33 white noise;arabic33 white noise;baghdad, iraq;arabic;none;28;female;11;academic;usa;0.3;2;Afro-Asiatic;Semitic;1;102
86;arabic33 time stretch;arabic33 time stretch;baghdad, iraq;arabic;none;28;female;11;academic;usa;0.3;2;Afro-Asiatic;Semitic;1;102
86;arabic33 pitch scale;arabic33 pitch scale;baghdad, iraq;arabic;none;28;female;11;academic;usa;0.3;2;Afro-Asiatic;Semitic;1;102
86;arabic33 random gain;arabic33 random gain;baghdad, iraq;arabic;none;28;female;11;academic;usa;0.3;2;Afro-Asiatic;Semitic;1;102
87;arabic34;arabic34;kuwait city, kuwait;arabic;french;34;female;6;academic;usa;4;2;Afro-Asiatic;Semitic;1;102
87;arabic34 white noise;arabic34 white noise;kuwait city, kuwait;arabic;french;34;female;6;academic;usa;4;2;Afro-Asiatic;Semitic;1;102
87;arabic34 time stretch;arabic34 time stretch;kuwait city, kuwait;arabic;french;34;female;6;academic;usa;4;2;Afro-Asiatic;Semitic;1;102
87;arabic34 pitch scale;arabic34 pitch scale;kuwait city, kuwait;arabic;french;34;female;6;academic;usa;4;2;Afro-Asiatic;Semitic;1;102
87;arabic34 random gain;arabic34 random gain;kuwait city, kuwait;arabic;french;34;female;6;academic;usa;4;2;Afro-Asiatic;Semitic;1;102
88;arabic35;arabic35;jiddah, saudi arabia;arabic;none;56;male;16;naturalistic;usa;33;2;Afro-Asiatic;Semitic;1;102
88;arabic35 white noise;arabic35 white noise;jiddah, saudi arabia;arabic;none;56;male;16;naturalistic;usa;33;2;Afro-Asiatic;Semitic;1;102
88;arabic35 time stretch;arabic35 time stretch;jiddah, saudi arabia;arabic;none;56;male;16;naturalistic;usa;33;2;Afro-Asiatic;Semitic;1;102
88;arabic35 pitch scale;arabic35 pitch scale;jiddah, saudi arabia;arabic;none;56;male;16;naturalistic;usa;33;2;Afro-Asiatic;Semitic;1;102
88;arabic35 random gain;arabic35 random gain;jiddah, saudi arabia;arabic;none;56;male;16;naturalistic;usa;33;2;Afro-Asiatic;Semitic;1;102
89;arabic36;arabic36;jiddah, saudi arabia;arabic;none;36;male;6;academic;usa, uk;6;2;Afro-Asiatic;Semitic;1;102
89;arabic36 white noise;arabic36 white noise;jiddah, saudi arabia;arabic;none;36;male;6;academic;usa, uk;6;2;Afro-Asiatic;Semitic;1;102
89;arabic36 time stretch;arabic36 time stretch;jiddah, saudi arabia;arabic;none;36;male;6;academic;usa, uk;6;2;Afro-Asiatic;Semitic;1;102
89;arabic36 pitch scale;arabic36 pitch scale;jiddah, saudi arabia;arabic;none;36;male;6;academic;usa, uk;6;2;Afro-Asiatic;Semitic;1;102
89;arabic36 random gain;arabic36 random gain;jiddah, saudi arabia;arabic;none;36;male;6;academic;usa, uk;6;2;Afro-Asiatic;Semitic;1;102
90;arabic37;arabic37;jiddah, saudi arabia;arabic;none;18;male;16;academic;usa;0.4;2;Afro-Asiatic;Semitic;1;102
90;arabic37 white noise;arabic37 white noise;jiddah, saudi arabia;arabic;none;18;male;16;academic;usa;0.4;2;Afro-Asiatic;Semitic;1;102
90;arabic37 time stretch;arabic37 time stretch;jiddah, saudi arabia;arabic;none;18;male;16;academic;usa;0.4;2;Afro-Asiatic;Semitic;1;102
90;arabic37 pitch scale;arabic37 pitch scale;jiddah, saudi arabia;arabic;none;18;male;16;academic;usa;0.4;2;Afro-Asiatic;Semitic;1;102
90;arabic37 random gain;arabic37 random gain;jiddah, saudi arabia;arabic;none;18;male;16;academic;usa;0.4;2;Afro-Asiatic;Semitic;1;102
91;arabic38;arabic38;shady grove, maryland, usa;arabic;none;19;female;9;academic;usa;12;2;Afro-Asiatic;Semitic;1;102
91;arabic38 white noise;arabic38 white noise;shady grove, maryland, usa;arabic;none;19;female;9;academic;usa;12;2;Afro-Asiatic;Semitic;1;102
91;arabic38 time stretch;arabic38 time stretch;shady grove, maryland, usa;arabic;none;19;female;9;academic;usa;12;2;Afro-Asiatic;Semitic;1;102
91;arabic38 pitch scale;arabic38 pitch scale;shady grove, maryland, usa;arabic;none;19;female;9;academic;usa;12;2;Afro-Asiatic;Semitic;1;102
91;arabic38 random gain;arabic38 random gain;shady grove, maryland, usa;arabic;none;19;female;9;academic;usa;12;2;Afro-Asiatic;Semitic;1;102
92;arabic39;arabic39;jiddah, saudi arabia;arabic;none;22;male;5;academic;usa;2;2;Afro-Asiatic;Semitic;1;102
92;arabic39 white noise;arabic39 white noise;jiddah, saudi arabia;arabic;none;22;male;5;academic;usa;2;2;Afro-Asiatic;Semitic;1;102
92;arabic39 time stretch;arabic39 time stretch;jiddah, saudi arabia;arabic;none;22;male;5;academic;usa;2;2;Afro-Asiatic;Semitic;1;102
92;arabic39 pitch scale;arabic39 pitch scale;jiddah, saudi arabia;arabic;none;22;male;5;academic;usa;2;2;Afro-Asiatic;Semitic;1;102
92;arabic39 random gain;arabic39 random gain;jiddah, saudi arabia;arabic;none;22;male;5;academic;usa;2;2;Afro-Asiatic;Semitic;1;102
93;arabic40;arabic40;jiddah, saudi arabia;arabic;none;19;male;13;academic;usa;0.1;2;Afro-Asiatic;Semitic;1;102
93;arabic40 white noise;arabic40 white noise;jiddah, saudi arabia;arabic;none;19;male;13;academic;usa;0.1;2;Afro-Asiatic;Semitic;1;102
93;arabic40 time stretch;arabic40 time stretch;jiddah, saudi arabia;arabic;none;19;male;13;academic;usa;0.1;2;Afro-Asiatic;Semitic;1;102
93;arabic40 pitch scale;arabic40 pitch scale;jiddah, saudi arabia;arabic;none;19;male;13;academic;usa;0.1;2;Afro-Asiatic;Semitic;1;102
93;arabic40 random gain;arabic40 random gain;jiddah, saudi arabia;arabic;none;19;male;13;academic;usa;0.1;2;Afro-Asiatic;Semitic;1;102
94;arabic41;arabic41;riyadh, saudi arabia;arabic;none;25;male;7;academic;usa;1.5;2;Afro-Asiatic;Semitic;1;102
94;arabic41 white noise;arabic41 white noise;riyadh, saudi arabia;arabic;none;25;male;7;academic;usa;1.5;2;Afro-Asiatic;Semitic;1;102
94;arabic41 time stretch;arabic41 time stretch;riyadh, saudi arabia;arabic;none;25;male;7;academic;usa;1.5;2;Afro-Asiatic;Semitic;1;102
94;arabic41 pitch scale;arabic41 pitch scale;riyadh, saudi arabia;arabic;none;25;male;7;academic;usa;1.5;2;Afro-Asiatic;Semitic;1;102
94;arabic41 random gain;arabic41 random gain;riyadh, saudi arabia;arabic;none;25;male;7;academic;usa;1.5;2;Afro-Asiatic;Semitic;1;102
95;arabic42;arabic42;jiddah, saudi arabia;arabic;none;21;male;13;academic;usa;0.5;2;Afro-Asiatic;Semitic;1;102
95;arabic42 white noise;arabic42 white noise;jiddah, saudi arabia;arabic;none;21;male;13;academic;usa;0.5;2;Afro-Asiatic;Semitic;1;102
95;arabic42 time stretch;arabic42 time stretch;jiddah, saudi arabia;arabic;none;21;male;13;academic;usa;0.5;2;Afro-Asiatic;Semitic;1;102
95;arabic42 pitch scale;arabic42 pitch scale;jiddah, saudi arabia;arabic;none;21;male;13;academic;usa;0.5;2;Afro-Asiatic;Semitic;1;102
95;arabic42 random gain;arabic42 random gain;jiddah, saudi arabia;arabic;none;21;male;13;academic;usa;0.5;2;Afro-Asiatic;Semitic;1;102
96;arabic43;arabic43;beirut, lebanon;arabic;french spanish;29;female;8;academic;;0;2;Afro-Asiatic;Semitic;1;102
96;arabic43 white noise;arabic43 white noise;beirut, lebanon;arabic;french spanish;29;female;8;academic;;0;2;Afro-Asiatic;Semitic;1;102
96;arabic43 time stretch;arabic43 time stretch;beirut, lebanon;arabic;french spanish;29;female;8;academic;;0;2;Afro-Asiatic;Semitic;1;102
96;arabic43 pitch scale;arabic43 pitch scale;beirut, lebanon;arabic;french spanish;29;female;8;academic;;0;2;Afro-Asiatic;Semitic;1;102
96;arabic43 random gain;arabic43 random gain;beirut, lebanon;arabic;french spanish;29;female;8;academic;;0;2;Afro-Asiatic;Semitic;1;102
97;arabic44;arabic44;jiddah, saudi arabia;arabic;none;29;female;7;academic;usa;0.6;2;Afro-Asiatic;Semitic;1;102
